radius,rest_mass_density,gravitational_mass,pressure,energy_density
4.258727e+02,3.989989e+15,8.202126e+24,2.063256e+37,1.240214e+37
4.284647e+02,3.989989e+15,8.285145e+24,2.063256e+37,1.240214e+37
4.310516e+02,3.989988e+15,8.368995e+24,2.063256e+37,1.240214e+37
4.336335e+02,3.989988e+15,8.453687e+24,2.063256e+37,1.240214e+37
4.362107e+02,3.989988e+15,8.539228e+24,2.063255e+37,1.240214e+37
4.387834e+02,3.989988e+15,8.625626e+24,2.063255e+37,1.240213e+37
4.413519e+02,3.989988e+15,8.712892e+24,2.063255e+37,1.240213e+37
4.439163e+02,3.989988e+15,8.801032e+24,2.063255e+37,1.240213e+37
4.464770e+02,3.989988e+15,8.890057e+24,2.063255e+37,1.240213e+37
4.490341e+02,3.989988e+15,8.979975e+24,2.063255e+37,1.240213e+37
4.515878e+02,3.989988e+15,9.070796e+24,2.063255e+37,1.240213e+37
4.541384e+02,3.989988e+15,9.162528e+24,2.063255e+37,1.240213e+37
4.566860e+02,3.989988e+15,9.255180e+24,2.063255e+37,1.240213e+37
4.592308e+02,3.989988e+15,9.348763e+24,2.063254e+37,1.240213e+37
4.617730e+02,3.989988e+15,9.443285e+24,2.063254e+37,1.240213e+37
4.643128e+02,3.989988e+15,9.538756e+24,2.063254e+37,1.240213e+37
4.668505e+02,3.989988e+15,9.635186e+24,2.063254e+37,1.240213e+37
4.693860e+02,3.989988e+15,9.732584e+24,2.063254e+37,1.240213e+37
4.719197e+02,3.989987e+15,9.830960e+24,2.063254e+37,1.240213e+37
4.744517e+02,3.989987e+15,9.930324e+24,2.063254e+37,1.240213e+37
4.769821e+02,3.989987e+15,1.003069e+25,2.063254e+37,1.240213e+37
4.795111e+02,3.989987e+15,1.013206e+25,2.063254e+37,1.240213e+37
4.820389e+02,3.989987e+15,1.023445e+25,2.063253e+37,1.240213e+37
4.845656e+02,3.989987e+15,1.033786e+25,2.063253e+37,1.240213e+37
4.870914e+02,3.989987e+15,1.044232e+25,2.063253e+37,1.240212e+37
4.896163e+02,3.989987e+15,1.054782e+25,2.063253e+37,1.240212e+37
4.921406e+02,3.989987e+15,1.065439e+25,2.063253e+37,1.240212e+37
4.946644e+02,3.989987e+15,1.076203e+25,2.063253e+37,1.240212e+37
4.971878e+02,3.989987e+15,1.087074e+25,2.063253e+37,1.240212e+37
4.997110e+02,3.989987e+15,1.098056e+25,2.063253e+37,1.240212e+37
5.022340e+02,3.989987e+15,1.109147e+25,2.063253e+37,1.240212e+37
5.047571e+02,3.989987e+15,1.120350e+25,2.063252e+37,1.240212e+37
5.072802e+02,3.989987e+15,1.131665e+25,2.063252e+37,1.240212e+37
5.098037e+02,3.989986e+15,1.143095e+25,2.063252e+37,1.240212e+37
5.123275e+02,3.989986e+15,1.154639e+25,2.063252e+37,1.240212e+37
5.148518e+02,3.989986e+15,1.166299e+25,2.063252e+37,1.240212e+37
5.173767e+02,3.989986e+15,1.178076e+25,2.063252e+37,1.240212e+37
5.199023e+02,3.989986e+15,1.189972e+25,2.063252e+37,1.240212e+37
5.224288e+02,3.989986e+15,1.201988e+25,2.063252e+37,1.240212e+37
5.249562e+02,3.989986e+15,1.214124e+25,2.063251e+37,1.240212e+37
5.274847e+02,3.989986e+15,1.226382e+25,2.063251e+37,1.240212e+37
5.300143e+02,3.989986e+15,1.238763e+25,2.063251e+37,1.240212e+37
5.325452e+02,3.989986e+15,1.251269e+25,2.063251e+37,1.240211e+37
5.350774e+02,3.989986e+15,1.263901e+25,2.063251e+37,1.240211e+37
5.376111e+02,3.989986e+15,1.276660e+25,2.063251e+37,1.240211e+37
5.401464e+02,3.989986e+15,1.289547e+25,2.063251e+37,1.240211e+37
5.426833e+02,3.989986e+15,1.302564e+25,2.063251e+37,1.240211e+37
