central_density,radius,mass
1.320000e+15,1.081300e+06,4.015128e+33
1.330000e+15,1.079876e+06,4.031675e+33
1.340000e+15,1.078443e+06,4.047741e+33
1.350000e+15,1.076996e+06,4.063298e+33
1.360000e+15,1.075333e+06,4.077119e+33
1.370000e+15,1.073876e+06,4.091884e+33
1.380000e+15,1.072338e+06,4.106139e+33
1.390000e+15,1.070868e+06,4.120218e+33
1.400000e+15,1.069386e+06,4.133610e+33
1.410000e+15,1.067799e+06,4.146107e+33
1.420000e+15,1.066274e+06,4.158811e+33
1.430000e+15,1.064777e+06,4.171166e+33
1.440000e+15,1.063176e+06,4.182432e+33
1.450000e+15,1.061504e+06,4.193173e+33
1.460000e+15,1.059992e+06,4.204312e+33
1.470000e+15,1.058388e+06,4.214703e+33
1.480000e+15,1.056841e+06,4.225161e+33
1.490000e+15,1.055126e+06,4.233875e+33
1.500000e+15,1.053546e+06,4.243684e+33
1.510000e+15,1.051928e+06,4.252478e+33
1.520000e+15,1.050375e+06,4.261643e+33
1.530000e+15,1.048662e+06,4.269150e+33
1.540000e+15,1.047082e+06,4.277745e+33
1.550000e+15,1.045465e+06,4.285363e+33
1.560000e+15,1.043899e+06,4.293015e+33
1.570000e+15,1.042142e+06,4.299494e+33
1.580000e+15,1.040532e+06,4.306368e+33
1.590000e+15,1.038974e+06,4.313272e+33
1.600000e+15,1.037223e+06,4.318888e+33
1.610000e+15,1.035615e+06,4.324890e+33
1.620000e+15,1.033881e+06,4.329639e+33
1.630000e+15,1.032307e+06,4.335535e+33
1.640000e+15,1.030678e+06,4.340672e+33
1.650000e+15,1.028942e+06,4.344973e+33
1.660000e+15,1.027346e+06,4.349658e+33
1.670000e+15,1.025823e+06,4.354948e+33
1.680000e+15,1.024097e+06,4.358526e+33
1.690000e+15,1.022483e+06,4.362428e+33
1.700000e+15,1.020765e+06,4.365550e+33
1.710000e+15,1.019194e+06,4.369256e+33
1.720000e+15,1.017511e+06,4.371992e+33
1.730000e+15,1.015887e+06,4.374962e+33
1.740000e+15,1.014234e+06,4.377712e+33
1.750000e+15,1.012619e+06,4.380272e+33
1.760000e+15,1.011119e+06,4.383353e+33
1.770000e+15,1.009436e+06,4.385038e+33
1.780000e+15,1.007880e+06,4.387486e+33
1.790000e+15,1.006213e+06,4.388916e+33
1.800000e+15,1.004651e+06,4.390665e+33
1.810000e+15,1.003014e+06,4.392090e+33
1.820000e+15,1.001468e+06,4.393606e+33
1.830000e+15,9.998192e+05,4.394241e+33
1.840000e+15,9.982974e+05,4.395659e+33
1.850000e+15,9.966733e+05,4.396214e+33
1.860000e+15,9.950189e+05,4.396464e+33
1.870000e+15,9.934806e+05,4.397154e+33
1.880000e+15,9.918851e+05,4.397063e+33
1.890000e+15,9.903719e+05,4.397698e+33
1.900000e+15,9.887576e+05,4.397491e+33
1.910000e+15,9.872802e+05,4.397891e+33
1.920000e+15,9.857024e+05,4.397463e+33
1.930000e+15,9.842378e+05,4.397600e+33
1.940000e+15,9.826740e+05,4.396923e+33
1.950000e+15,9.812225e+05,4.396811e+33
1.960000e+15,9.796041e+05,4.395505e+33
1.970000e+15,9.780986e+05,4.394773e+33
1.980000e+15,9.766099e+05,4.393990e+33
1.990000e+15,9.751134e+05,4.393265e+33
