,0,1,2,3
kappa,3.5938855153e+13,4.6558609352e-08,4.2413098391e-17,1.2092051829e-15
gamma,1.3569239500e+00,2.8300000000e+00,3.4450000000e+00,3.3480000000e+00
density_at_boundary,5.0000000000e+13,1.5120144053e+14,5.0118723363e+14,
a_parameter,0.0000000000e+00,8.3544443086e-03,9.9684658750e-03,8.0542854590e-03
