,0,1,2,3
kappa,3.5938855153e+13,6.1235039172e-26,1.4938259517e-01,9.7566336937e+06
gamma,1.3569239500e+00,4.0700000000e+00,2.4110000000e+00,1.8900000000e+00
density_at_boundary,5.0000000000e+13,1.9477068763e+14,5.0118723363e+14,
a_parameter,0.0000000000e+00,8.6611178615e-03,-6.8238157117e-03,-8.9497999822e-02
