central_density,radius,mass
1.320000e+15,1.164004e+06,3.856037e+33
1.330000e+15,1.162628e+06,3.860044e+33
1.340000e+15,1.160756e+06,3.859497e+33
1.350000e+15,1.159706e+06,3.865520e+33
1.360000e+15,1.158210e+06,3.866943e+33
1.370000e+15,1.156655e+06,3.868655e+33
1.380000e+15,1.155578e+06,3.874047e+33
1.390000e+15,1.153992e+06,3.874877e+33
1.400000e+15,1.152341e+06,3.876052e+33
1.410000e+15,1.150708e+06,3.876013e+33
1.420000e+15,1.149692e+06,3.881848e+33
1.430000e+15,1.148029e+06,3.880992e+33
1.440000e+15,1.146376e+06,3.881785e+33
1.450000e+15,1.145409e+06,3.886719e+33
1.460000e+15,1.143740e+06,3.886890e+33
1.470000e+15,1.142118e+06,3.885925e+33
1.480000e+15,1.140424e+06,3.885470e+33
1.490000e+15,1.139482e+06,3.890245e+33
1.500000e+15,1.137967e+06,3.889760e+33
1.510000e+15,1.136316e+06,3.889717e+33
1.520000e+15,1.135347e+06,3.893566e+33
1.530000e+15,1.133618e+06,3.891671e+33
1.540000e+15,1.132351e+06,3.893528e+33
1.550000e+15,1.130962e+06,3.893868e+33
1.560000e+15,1.129458e+06,3.894271e+33
1.570000e+15,1.127785e+06,3.892825e+33
1.580000e+15,1.126765e+06,3.894933e+33
1.590000e+15,1.125343e+06,3.894984e+33
1.600000e+15,1.123646e+06,3.892803e+33
1.610000e+15,1.122776e+06,3.897180e+33
1.620000e+15,1.121075e+06,3.894604e+33
1.630000e+15,1.119557e+06,3.893672e+33
1.640000e+15,1.117863e+06,3.890786e+33
1.650000e+15,1.116966e+06,3.894253e+33
1.660000e+15,1.115263e+06,3.890953e+33
1.670000e+15,1.114541e+06,3.895905e+33
1.680000e+15,1.113016e+06,3.894130e+33
1.690000e+15,1.111297e+06,3.890259e+33
1.700000e+15,1.110147e+06,3.891957e+33
1.710000e+15,1.108243e+06,3.887343e+33
1.720000e+15,1.107330e+06,3.889535e+33
1.730000e+15,1.105711e+06,3.886770e+33
1.740000e+15,1.104987e+06,3.890638e+33
1.750000e+15,1.103456e+06,3.887825e+33
1.760000e+15,1.101924e+06,3.886330e+33
1.770000e+15,1.101019e+06,3.887802e+33
1.780000e+15,1.099385e+06,3.884272e+33
1.790000e+15,1.097961e+06,3.882747e+33
1.800000e+15,1.096449e+06,3.880888e+33
1.810000e+15,1.095529e+06,3.881725e+33
1.820000e+15,1.094191e+06,3.880093e+33
1.830000e+15,1.092671e+06,3.877847e+33
1.840000e+15,1.091875e+06,3.880235e+33
1.850000e+15,1.090361e+06,3.877811e+33
1.860000e+15,1.089111e+06,3.875657e+33
1.870000e+15,1.087332e+06,3.871104e+33
1.880000e+15,1.086523e+06,3.872947e+33
1.890000e+15,1.085201e+06,3.870685e+33
1.900000e+15,1.084314e+06,3.872124e+33
1.910000e+15,1.082907e+06,3.869427e+33
1.920000e+15,1.081405e+06,3.866373e+33
1.930000e+15,1.080283e+06,3.865474e+33
1.940000e+15,1.078653e+06,3.862458e+33
1.950000e+15,1.077857e+06,3.863632e+33
1.960000e+15,1.076546e+06,3.860782e+33
1.970000e+15,1.075669e+06,3.861553e+33
1.980000e+15,1.074281e+06,3.858349e+33
1.990000e+15,1.072800e+06,3.854805e+33
2.000000e+15,1.071757e+06,3.854374e+33
2.010000e+15,1.070086e+06,3.849930e+33
2.020000e+15,1.069303e+06,3.850511e+33
2.030000e+15,1.068008e+06,3.847191e+33
2.040000e+15,1.067144e+06,3.847379e+33
2.050000e+15,1.065911e+06,3.845845e+33
2.060000e+15,1.064596e+06,3.844066e+33
2.070000e+15,1.063232e+06,3.840298e+33
2.080000e+15,1.061859e+06,3.837357e+33
2.090000e+15,1.061241e+06,3.838707e+33
2.100000e+15,1.059885e+06,3.834783e+33
2.110000e+15,1.058438e+06,3.830549e+33
2.120000e+15,1.057391e+06,3.830994e+33
2.130000e+15,1.055961e+06,3.826717e+33
2.140000e+15,1.055279e+06,3.827575e+33
2.150000e+15,1.054094e+06,3.824751e+33
2.160000e+15,1.053256e+06,3.824140e+33
2.170000e+15,1.052075e+06,3.822149e+33
2.180000e+15,1.050233e+06,3.816142e+33
2.190000e+15,1.049481e+06,3.815554e+33
2.200000e+15,1.048312e+06,3.813477e+33
2.210000e+15,1.047568e+06,3.812802e+33
2.220000e+15,1.046579e+06,3.813045e+33
2.230000e+15,1.045167e+06,3.808281e+33
2.240000e+15,1.044019e+06,3.806095e+33
2.250000e+15,1.042628e+06,3.801340e+33
2.260000e+15,1.042144e+06,3.802985e+33
2.270000e+15,1.041007e+06,3.800715e+33
2.280000e+15,1.039701e+06,3.797001e+33
2.290000e+15,1.038754e+06,3.795189e+33
2.300000e+15,1.037287e+06,3.790987e+33
2.310000e+15,1.036822e+06,3.792460e+33
2.320000e+15,1.035619e+06,3.788868e+33
2.330000e+15,1.034332e+06,3.785029e+33
2.340000e+15,1.033488e+06,3.784255e+33
2.350000e+15,1.032051e+06,3.780025e+33
2.360000e+15,1.031605e+06,3.781335e+33
2.370000e+15,1.030323e+06,3.776357e+33
2.380000e+15,1.029149e+06,3.773659e+33
2.390000e+15,1.028069e+06,3.771177e+33
2.400000e+15,1.026912e+06,3.768481e+33
2.410000e+15,1.026292e+06,3.767107e+33
2.420000e+15,1.025417e+06,3.767121e+33
2.430000e+15,1.024069e+06,3.761789e+33
2.440000e+15,1.023008e+06,3.759214e+33
2.450000e+15,1.021876e+06,3.756468e+33
2.460000e+15,1.021467e+06,3.757504e+33
2.470000e+15,1.020418e+06,3.754891e+33
2.480000e+15,1.019088e+06,3.749475e+33
2.490000e+15,1.018250e+06,3.749434e+33
2.500000e+15,1.017290e+06,3.746976e+33
2.510000e+15,1.016548e+06,3.744954e+33
2.520000e+15,1.015411e+06,3.743042e+33
2.530000e+15,1.013857e+06,3.736090e+33
2.540000e+15,1.013471e+06,3.736903e+33
2.550000e+15,1.012474e+06,3.734350e+33
2.560000e+15,1.011407e+06,3.731636e+33
2.570000e+15,1.010394e+06,3.728895e+33
2.580000e+15,1.009159e+06,3.723772e+33
2.590000e+15,1.008470e+06,3.724044e+33
2.600000e+15,1.007740e+06,3.722912e+33
2.610000e+15,1.006283e+06,3.716427e+33
2.620000e+15,1.006172e+06,3.719968e+33
2.630000e+15,1.005056e+06,3.715167e+33
2.640000e+15,1.003475e+06,3.709272e+33
2.650000e+15,1.003163e+06,3.710190e+33
2.660000e+15,1.002282e+06,3.708045e+33
2.670000e+15,1.001291e+06,3.705522e+33
2.680000e+15,1.000354e+06,3.702990e+33
2.690000e+15,9.995730e+05,3.701101e+33
2.700000e+15,9.986127e+05,3.698691e+33
2.710000e+15,9.975831e+05,3.694283e+33
2.720000e+15,9.969305e+05,3.694344e+33
2.730000e+15,9.958355e+05,3.689819e+33
2.740000e+15,9.950615e+05,3.687851e+33
2.750000e+15,9.941763e+05,3.685485e+33
2.760000e+15,9.932759e+05,3.683296e+33
2.770000e+15,9.925295e+05,3.681422e+33
2.780000e+15,9.915675e+05,3.677323e+33
2.790000e+15,9.902229e+05,3.673800e+33
2.800000e+15,9.900546e+05,3.675133e+33
2.810000e+15,9.891147e+05,3.671113e+33
2.820000e+15,9.877802e+05,3.667587e+33
2.830000e+15,9.874732e+05,3.666833e+33
2.840000e+15,9.864111e+05,3.663343e+33
2.850000e+15,9.854279e+05,3.659998e+33
2.860000e+15,9.845443e+05,3.657705e+33
2.870000e+15,9.838146e+05,3.655990e+33
2.880000e+15,9.829969e+05,3.652318e+33
2.890000e+15,9.822465e+05,3.651915e+33
2.900000e+15,9.814556e+05,3.648356e+33
2.910000e+15,9.807302e+05,3.646600e+33
2.920000e+15,9.793610e+05,3.641533e+33
2.930000e+15,9.792281e+05,3.642740e+33
2.940000e+15,9.782052e+05,3.639321e+33
2.950000e+15,9.771934e+05,3.634506e+33
2.960000e+15,9.764968e+05,3.634243e+33
2.970000e+15,9.757436e+05,3.631613e+33
2.980000e+15,9.750439e+05,3.629072e+33
2.990000e+15,9.737278e+05,3.624229e+33
3.000000e+15,9.736343e+05,3.625503e+33
3.010000e+15,9.726316e+05,3.622092e+33
3.020000e+15,9.716578e+05,3.617428e+33
3.030000e+15,9.709902e+05,3.617171e+33
3.040000e+15,9.703359e+05,3.614756e+33
3.050000e+15,9.695942e+05,3.612128e+33
3.060000e+15,9.683058e+05,3.607358e+33
3.070000e+15,9.682398e+05,3.608638e+33
3.080000e+15,9.672636e+05,3.605280e+33
3.090000e+15,9.663166e+05,3.600705e+33
3.100000e+15,9.656810e+05,3.600489e+33
3.110000e+15,9.649913e+05,3.597255e+33
3.120000e+15,9.643363e+05,3.595544e+33
3.130000e+15,9.630754e+05,3.590852e+33
3.140000e+15,9.624836e+05,3.589246e+33
3.150000e+15,9.618370e+05,3.587524e+33
3.160000e+15,9.611648e+05,3.584350e+33
3.170000e+15,9.605596e+05,3.584172e+33
3.180000e+15,9.598931e+05,3.580991e+33
3.190000e+15,9.592652e+05,3.579329e+33
3.200000e+15,9.580507e+05,3.573296e+33
3.210000e+15,9.574662e+05,3.573161e+33
3.220000e+15,9.568460e+05,3.571487e+33
3.230000e+15,9.561973e+05,3.568371e+33
3.240000e+15,9.549810e+05,3.563827e+33
3.250000e+15,9.549782e+05,3.565109e+33
3.260000e+15,9.540744e+05,3.561950e+33
3.270000e+15,9.531857e+05,3.557555e+33
3.280000e+15,9.526288e+05,3.557453e+33
3.290000e+15,9.519942e+05,3.554342e+33
3.300000e+15,9.514089e+05,3.552772e+33
3.310000e+15,9.503540e+05,3.548579e+33
3.320000e+15,9.496921e+05,3.546820e+33
3.330000e+15,9.491131e+05,3.545234e+33
3.340000e+15,9.484970e+05,3.542196e+33
3.350000e+15,9.473246e+05,3.537806e+33
3.360000e+15,9.473563e+05,3.539085e+33
3.370000e+15,9.464941e+05,3.536046e+33
3.380000e+15,9.456394e+05,3.531765e+33
3.390000e+15,9.451267e+05,3.531728e+33
3.400000e+15,9.445255e+05,3.528706e+33
3.410000e+15,9.439793e+05,3.527217e+33
3.420000e+15,9.428373e+05,3.521492e+33
3.430000e+15,9.423405e+05,3.521477e+33
3.440000e+15,9.418172e+05,3.519320e+33
3.450000e+15,9.412173e+05,3.517027e+33
3.460000e+15,9.400839e+05,3.512767e+33
3.470000e+15,9.396068e+05,3.511371e+33
3.480000e+15,9.390808e+05,3.509903e+33
3.490000e+15,9.385075e+05,3.506980e+33
3.500000e+15,9.375029e+05,3.504355e+33
3.510000e+15,9.374682e+05,3.504080e+33
3.520000e+15,9.366591e+05,3.501199e+33
3.530000e+15,9.358493e+05,3.497079e+33
3.540000e+15,9.353930e+05,3.497127e+33
3.550000e+15,9.348356e+05,3.494234e+33
3.560000e+15,9.340416e+05,3.491405e+33
3.570000e+15,9.332432e+05,3.487330e+33
3.580000e+15,9.328014e+05,3.487400e+33
3.590000e+15,9.323233e+05,3.485353e+33
3.600000e+15,9.317709e+05,3.483185e+33
3.610000e+15,9.308213e+05,3.479360e+33
3.620000e+15,9.302595e+05,3.477814e+33
3.630000e+15,9.298471e+05,3.476573e+33
3.640000e+15,9.292519e+05,3.473661e+33
3.650000e+15,9.283167e+05,3.469892e+33
3.660000e+15,9.277665e+05,3.468369e+33
3.670000e+15,9.273002e+05,3.467030e+33
3.680000e+15,9.267816e+05,3.464277e+33
3.690000e+15,9.257272e+05,3.460305e+33
3.700000e+15,9.253216e+05,3.459064e+33
3.710000e+15,9.248679e+05,3.457756e+33
3.720000e+15,9.243592e+05,3.455034e+33
3.730000e+15,9.234374e+05,3.452639e+33
3.740000e+15,9.234643e+05,3.452462e+33
3.750000e+15,9.224827e+05,3.448620e+33
3.760000e+15,9.219840e+05,3.445929e+33
3.770000e+15,9.210766e+05,3.443577e+33
3.780000e+15,9.211126e+05,3.443412e+33
3.790000e+15,9.201437e+05,3.439619e+33
3.800000e+15,9.196552e+05,3.436960e+33
3.810000e+15,9.187616e+05,3.434650e+33
3.820000e+15,9.188070e+05,3.434499e+33
3.830000e+15,9.180938e+05,3.431905e+33
3.840000e+15,9.173721e+05,3.428128e+33
3.850000e+15,9.170178e+05,3.428333e+33
3.860000e+15,9.165467e+05,3.425722e+33
3.870000e+15,9.158450e+05,3.423163e+33
3.880000e+15,9.151339e+05,3.419429e+33
3.890000e+15,9.147916e+05,3.419653e+33
3.900000e+15,9.143310e+05,3.417078e+33
3.910000e+15,9.136402e+05,3.414552e+33
3.920000e+15,9.129398e+05,3.410862e+33
3.930000e+15,9.126092e+05,3.411104e+33
3.940000e+15,9.121591e+05,3.408566e+33
3.950000e+15,9.114787e+05,3.406071e+33
3.960000e+15,9.107891e+05,3.402425e+33
3.970000e+15,9.104697e+05,3.402684e+33
3.980000e+15,9.100302e+05,3.400183e+33
3.990000e+15,9.093599e+05,3.397718e+33
