central_density,radius,mass
1.320000e+15,1.204667e+06,3.932656e+33
1.330000e+15,1.202701e+06,3.936265e+33
1.340000e+15,1.200689e+06,3.939581e+33
1.350000e+15,1.198637e+06,3.942674e+33
1.360000e+15,1.196687e+06,3.945708e+33
1.370000e+15,1.194419e+06,3.946227e+33
1.380000e+15,1.192756e+06,3.951225e+33
1.390000e+15,1.190453e+06,3.951454e+33
1.400000e+15,1.188527e+06,3.953860e+33
1.410000e+15,1.186287e+06,3.953863e+33
1.420000e+15,1.184553e+06,3.958066e+33
1.430000e+15,1.182647e+06,3.960091e+33
1.440000e+15,1.180428e+06,3.959782e+33
1.450000e+15,1.178809e+06,3.963908e+33
1.460000e+15,1.176559e+06,3.962929e+33
1.470000e+15,1.174681e+06,3.964502e+33
1.480000e+15,1.172764e+06,3.965860e+33
1.490000e+15,1.170810e+06,3.967009e+33
1.500000e+15,1.168953e+06,3.968147e+33
1.510000e+15,1.167060e+06,3.969446e+33
1.520000e+15,1.165128e+06,3.970187e+33
1.530000e+15,1.163292e+06,3.970922e+33
1.540000e+15,1.161154e+06,3.969549e+33
1.550000e+15,1.159604e+06,3.972538e+33
1.560000e+15,1.157704e+06,3.972788e+33
1.570000e+15,1.155589e+06,3.971100e+33
1.580000e+15,1.154061e+06,3.973710e+33
1.590000e+15,1.152186e+06,3.973815e+33
1.600000e+15,1.150097e+06,3.972039e+33
1.610000e+15,1.148587e+06,3.974081e+33
1.620000e+15,1.146599e+06,3.973035e+33
1.630000e+15,1.144672e+06,3.971839e+33
1.640000e+15,1.143188e+06,3.973773e+33
1.650000e+15,1.141229e+06,3.972693e+33
1.660000e+15,1.139325e+06,3.971222e+33
1.670000e+15,1.137861e+06,3.972844e+33
1.680000e+15,1.135927e+06,3.971521e+33
1.690000e+15,1.134046e+06,3.969795e+33
1.700000e+15,1.132609e+06,3.971379e+33
1.710000e+15,1.130697e+06,3.969603e+33
1.720000e+15,1.128850e+06,3.968143e+33
1.730000e+15,1.127424e+06,3.968960e+33
1.740000e+15,1.125677e+06,3.968198e+33
1.750000e+15,1.123717e+06,3.965549e+33
1.760000e+15,1.122318e+06,3.966366e+33
1.770000e+15,1.120596e+06,3.965410e+33
1.780000e+15,1.118663e+06,3.962603e+33
1.790000e+15,1.117291e+06,3.963446e+33
1.800000e+15,1.115592e+06,3.962295e+33
1.810000e+15,1.113676e+06,3.959055e+33
1.820000e+15,1.112319e+06,3.959412e+33
1.830000e+15,1.110645e+06,3.958090e+33
1.840000e+15,1.108761e+06,3.954986e+33
1.850000e+15,1.107356e+06,3.955314e+33
1.860000e+15,1.105780e+06,3.953916e+33
1.870000e+15,1.104173e+06,3.952415e+33
1.880000e+15,1.102538e+06,3.950825e+33
1.890000e+15,1.101003e+06,3.949865e+33
1.900000e+15,1.099419e+06,3.948225e+33
1.910000e+15,1.097807e+06,3.946485e+33
1.920000e+15,1.096276e+06,3.944792e+33
1.930000e+15,1.094969e+06,3.944717e+33
1.940000e+15,1.093127e+06,3.941152e+33
1.950000e+15,1.091628e+06,3.939638e+33
1.960000e+15,1.090341e+06,3.939396e+33
