,0,1,2,3
kappa,3.5938855153e+13,8.0667760459e-09,4.4957277130e+01,1.5233510631e+03
gamma,1.3569239500e+00,2.9090000000e+00,2.2460000000e+00,2.1440000000e+00
density_at_boundary,5.0000000000e+13,8.8782419625e+13,5.0118723363e+14,
a_parameter,0.0000000000e+00,8.0201840025e-03,3.9185813200e-04,-1.3632378881e-02
