radius,rest_mass_density,gravitational_mass,pressure,energy_density
4.000269e+02,3.989989e+15,4.365389e+24,4.278420e+36,7.276957e+36
4.026902e+02,3.989989e+15,4.409623e+24,4.278420e+36,7.276957e+36
4.053452e+02,3.989989e+15,4.454300e+24,4.278420e+36,7.276957e+36
4.079923e+02,3.989989e+15,4.499424e+24,4.278420e+36,7.276957e+36
4.106317e+02,3.989989e+15,4.545000e+24,4.278420e+36,7.276957e+36
4.132639e+02,3.989989e+15,4.591032e+24,4.278420e+36,7.276957e+36
4.158891e+02,3.989989e+15,4.637524e+24,4.278419e+36,7.276957e+36
4.185077e+02,3.989989e+15,4.684483e+24,4.278419e+36,7.276956e+36
4.211200e+02,3.989989e+15,4.731912e+24,4.278419e+36,7.276956e+36
4.237262e+02,3.989989e+15,4.779816e+24,4.278419e+36,7.276956e+36
4.263266e+02,3.989989e+15,4.828200e+24,4.278419e+36,7.276956e+36
4.289215e+02,3.989989e+15,4.877069e+24,4.278419e+36,7.276956e+36
4.315113e+02,3.989989e+15,4.926428e+24,4.278419e+36,7.276956e+36
4.340960e+02,3.989989e+15,4.976282e+24,4.278419e+36,7.276955e+36
4.366761e+02,3.989989e+15,5.026636e+24,4.278419e+36,7.276955e+36
4.392516e+02,3.989989e+15,5.077495e+24,4.278418e+36,7.276955e+36
4.418229e+02,3.989989e+15,5.128863e+24,4.278418e+36,7.276955e+36
4.443902e+02,3.989989e+15,5.180748e+24,4.278418e+36,7.276955e+36
4.469537e+02,3.989989e+15,5.233152e+24,4.278418e+36,7.276955e+36
4.495136e+02,3.989989e+15,5.286083e+24,4.278418e+36,7.276955e+36
4.520701e+02,3.989988e+15,5.339545e+24,4.278418e+36,7.276954e+36
4.546235e+02,3.989988e+15,5.393543e+24,4.278418e+36,7.276954e+36
4.571739e+02,3.989988e+15,5.448083e+24,4.278418e+36,7.276954e+36
4.597215e+02,3.989988e+15,5.503171e+24,4.278417e+36,7.276954e+36
4.622666e+02,3.989988e+15,5.558811e+24,4.278417e+36,7.276954e+36
4.648092e+02,3.989988e+15,5.615011e+24,4.278417e+36,7.276954e+36
4.673496e+02,3.989988e+15,5.671774e+24,4.278417e+36,7.276954e+36
4.698879e+02,3.989988e+15,5.729108e+24,4.278417e+36,7.276953e+36
4.724244e+02,3.989988e+15,5.787017e+24,4.278417e+36,7.276953e+36
4.749592e+02,3.989988e+15,5.845508e+24,4.278417e+36,7.276953e+36
4.774924e+02,3.989988e+15,5.904587e+24,4.278417e+36,7.276953e+36
4.800242e+02,3.989988e+15,5.964259e+24,4.278417e+36,7.276953e+36
4.825547e+02,3.989988e+15,6.024530e+24,4.278416e+36,7.276953e+36
4.850842e+02,3.989988e+15,6.085407e+24,4.278416e+36,7.276953e+36
4.876127e+02,3.989988e+15,6.146895e+24,4.278416e+36,7.276952e+36
4.901404e+02,3.989988e+15,6.209001e+24,4.278416e+36,7.276952e+36
4.926675e+02,3.989988e+15,6.271731e+24,4.278416e+36,7.276952e+36
4.951941e+02,3.989988e+15,6.335092e+24,4.278416e+36,7.276952e+36
4.977202e+02,3.989988e+15,6.399089e+24,4.278416e+36,7.276952e+36
5.002462e+02,3.989987e+15,6.463729e+24,4.278416e+36,7.276952e+36
5.027720e+02,3.989987e+15,6.529019e+24,4.278415e+36,7.276951e+36
5.052978e+02,3.989987e+15,6.594966e+24,4.278415e+36,7.276951e+36
5.078237e+02,3.989987e+15,6.661575e+24,4.278415e+36,7.276951e+36
5.103499e+02,3.989987e+15,6.728853e+24,4.278415e+36,7.276951e+36
5.128765e+02,3.989987e+15,6.796808e+24,4.278415e+36,7.276951e+36
5.154036e+02,3.989987e+15,6.865446e+24,4.278415e+36,7.276951e+36
5.179312e+02,3.989987e+15,6.934774e+24,4.278415e+36,7.276951e+36
5.204596e+02,3.989987e+15,7.004799e+24,4.278415e+36,7.276950e+36
5.229889e+02,3.989987e+15,7.075528e+24,4.278414e+36,7.276950e+36
5.255190e+02,3.989987e+15,7.146968e+24,4.278414e+36,7.276950e+36
5.280503e+02,3.989987e+15,7.219126e+24,4.278414e+36,7.276950e+36
5.305827e+02,3.989987e+15,7.292010e+24,4.278414e+36,7.276950e+36
5.331163e+02,3.989987e+15,7.365626e+24,4.278414e+36,7.276950e+36
5.356513e+02,3.989987e+15,7.439983e+24,4.278414e+36,7.276949e+36
5.381878e+02,3.989987e+15,7.515088e+24,4.278414e+36,7.276949e+36
5.407258e+02,3.989987e+15,7.590948e+24,4.278414e+36,7.276949e+36
5.432655e+02,3.989987e+15,7.667571e+24,4.278413e+36,7.276949e+36
5.458069e+02,3.989987e+15,7.744964e+24,4.278413e+36,7.276949e+36
5.483502e+02,3.989986e+15,7.823136e+24,4.278413e+36,7.276949e+36
5.508954e+02,3.989986e+15,7.902093e+24,4.278413e+36,7.276949e+36
5.534427e+02,3.989986e+15,7.981845e+24,4.278413e+36,7.276948e+36
5.559921e+02,3.989986e+15,8.062400e+24,4.278413e+36,7.276948e+36
5.585437e+02,3.989986e+15,8.143764e+24,4.278413e+36,7.276948e+36
5.610976e+02,3.989986e+15,8.225947e+24,4.278413e+36,7.276948e+36
5.636539e+02,3.989986e+15,8.308956e+24,4.278412e+36,7.276948e+36
5.662126e+02,3.989986e+15,8.392800e+24,4.278412e+36,7.276948e+36
5.687739e+02,3.989986e+15,8.477488e+24,4.278412e+36,7.276947e+36
5.713379e+02,3.989986e+15,8.563028e+24,4.278412e+36,7.276947e+36
5.739045e+02,3.989986e+15,8.649428e+24,4.278412e+36,7.276947e+36
5.764740e+02,3.989986e+15,8.736697e+24,4.278412e+36,7.276947e+36
5.790464e+02,3.989986e+15,8.824844e+24,4.278412e+36,7.276947e+36
5.816217e+02,3.989986e+15,8.913878e+24,4.278412e+36,7.276947e+36
