r,rho,m
1.4709700000e-05,1.0000000000e+15,2.7847780000e+02
1.4710900000e-05,1.0000000000e+15,2.7938230000e+02
1.4712090000e-05,1.0000000000e+15,2.8028960000e+02
1.4713290000e-05,1.0000000000e+15,2.8119990000e+02
1.4714480000e-05,1.0000000000e+15,2.8211320000e+02
1.4715670000e-05,1.0000000000e+15,2.8302940000e+02
1.4716870000e-05,1.0000000000e+15,2.8394860000e+02
1.4718060000e-05,1.0000000000e+15,2.8487080000e+02
1.4719250000e-05,1.0000000000e+15,2.8579590000e+02
1.4720450000e-05,1.0000000000e+15,2.8672410000e+02
1.4721640000e-05,1.0000000000e+15,2.8765530000e+02
1.4722830000e-05,1.0000000000e+15,2.8858950000e+02
1.4724020000e-05,1.0000000000e+15,2.8952680000e+02
1.4725210000e-05,1.0000000000e+15,2.9046710000e+02
1.4726410000e-05,1.0000000000e+15,2.9141050000e+02
1.4727600000e-05,1.0000000000e+15,2.9235690000e+02
1.4728790000e-05,1.0000000000e+15,2.9330640000e+02
1.4729980000e-05,1.0000000000e+15,2.9425890000e+02
1.4731170000e-05,1.0000000000e+15,2.9521460000e+02
1.4732360000e-05,1.0000000000e+15,2.9617340000e+02
1.4733550000e-05,1.0000000000e+15,2.9713530000e+02
1.4734740000e-05,1.0000000000e+15,2.9810030000e+02
1.4735930000e-05,1.0000000000e+15,2.9906840000e+02
1.4737120000e-05,1.0000000000e+15,3.0003970000e+02
1.4738310000e-05,1.0000000000e+15,3.0101420000e+02
1.4739500000e-05,1.0000000000e+15,3.0199180000e+02
1.4740690000e-05,1.0000000000e+15,3.0297250000e+02
1.4741880000e-05,1.0000000000e+15,3.0395650000e+02
1.4743070000e-05,1.0000000000e+15,3.0494370000e+02
1.4744260000e-05,1.0000000000e+15,3.0593400000e+02
1.4745450000e-05,1.0000000000e+15,3.0692760000e+02
1.4746640000e-05,1.0000000000e+15,3.0792440000e+02
1.4747830000e-05,1.0000000000e+15,3.0892450000e+02
1.4749010000e-05,1.0000000000e+15,3.0992780000e+02
1.4750200000e-05,1.0000000000e+15,3.1093430000e+02
1.4751390000e-05,1.0000000000e+15,3.1194420000e+02
1.4752580000e-05,1.0000000000e+15,3.1295730000e+02
1.4753770000e-05,1.0000000000e+15,3.1397370000e+02
1.4754950000e-05,1.0000000000e+15,3.1499340000e+02
1.4756140000e-05,1.0000000000e+15,3.1601640000e+02
1.4757330000e-05,1.0000000000e+15,3.1704270000e+02
1.4758510000e-05,1.0000000000e+15,3.1807240000e+02
1.4759700000e-05,1.0000000000e+15,3.1910540000e+02
1.4760890000e-05,1.0000000000e+15,3.2014170000e+02
1.4762070000e-05,1.0000000000e+15,3.2118150000e+02
1.4763260000e-05,1.0000000000e+15,3.2222460000e+02
1.4764440000e-05,1.0000000000e+15,3.2327110000e+02
1.4765630000e-05,1.0000000000e+15,3.2432100000e+02
1.4766810000e-05,1.0000000000e+15,3.2537430000e+02
1.4768000000e-05,1.0000000000e+15,3.2643100000e+02
1.4769180000e-05,1.0000000000e+15,3.2749110000e+02
1.4770370000e-05,1.0000000000e+15,3.2855470000e+02
1.4771550000e-05,1.0000000000e+15,3.2962180000e+02
1.4772740000e-05,1.0000000000e+15,3.3069230000e+02
1.4773920000e-05,1.0000000000e+15,3.3176630000e+02
1.4775110000e-05,1.0000000000e+15,3.3284380000e+02
1.4776290000e-05,1.0000000000e+15,3.3392470000e+02
1.4777470000e-05,1.0000000000e+15,3.3500920000e+02
1.4778660000e-05,1.0000000000e+15,3.3609730000e+02
1.4779840000e-05,1.0000000000e+15,3.3718880000e+02
1.4781020000e-05,1.0000000000e+15,3.3828390000e+02
1.4782210000e-05,1.0000000000e+15,3.3938250000e+02
1.4783390000e-05,1.0000000000e+15,3.4048480000e+02
1.4784570000e-05,1.0000000000e+15,3.4159060000e+02
1.4785750000e-05,1.0000000000e+15,3.4269990000e+02
1.4786940000e-05,1.0000000000e+15,3.4381290000e+02
1.4788120000e-05,1.0000000000e+15,3.4492950000e+02
1.4789300000e-05,1.0000000000e+15,3.4604980000e+02
1.4790480000e-05,1.0000000000e+15,3.4717360000e+02
1.4791660000e-05,1.0000000000e+15,3.4830120000e+02
1.4792840000e-05,1.0000000000e+15,3.4943230000e+02
1.4794020000e-05,1.0000000000e+15,3.5056720000e+02
1.4795200000e-05,1.0000000000e+15,3.5170570000e+02
1.4796380000e-05,1.0000000000e+15,3.5284800000e+02
1.4797570000e-05,1.0000000000e+15,3.5399390000e+02
1.4798750000e-05,1.0000000000e+15,3.5514360000e+02
1.4799930000e-05,1.0000000000e+15,3.5629700000e+02
1.4801110000e-05,1.0000000000e+15,3.5745420000e+02
1.4802280000e-05,1.0000000000e+15,3.5861510000e+02
1.4803460000e-05,1.0000000000e+15,3.5977970000e+02
1.4804640000e-05,1.0000000000e+15,3.6094820000e+02
1.4805820000e-05,1.0000000000e+15,3.6212050000e+02
1.4807000000e-05,1.0000000000e+15,3.6329650000e+02
1.4808180000e-05,1.0000000000e+15,3.6447640000e+02
1.4809360000e-05,1.0000000000e+15,3.6566010000e+02
1.4810540000e-05,1.0000000000e+15,3.6684770000e+02
1.4811720000e-05,1.0000000000e+15,3.6803910000e+02
1.4812890000e-05,1.0000000000e+15,3.6923440000e+02
1.4814070000e-05,1.0000000000e+15,3.7043350000e+02
1.4815250000e-05,1.0000000000e+15,3.7163660000e+02
1.4816430000e-05,1.0000000000e+15,3.7284360000e+02
1.4817600000e-05,1.0000000000e+15,3.7405450000e+02
1.4818780000e-05,1.0000000000e+15,3.7526930000e+02
1.4819960000e-05,1.0000000000e+15,3.7648800000e+02
1.4821130000e-05,1.0000000000e+15,3.7771080000e+02
1.4822310000e-05,1.0000000000e+15,3.7893750000e+02
1.4823490000e-05,1.0000000000e+15,3.8016820000e+02
1.4824660000e-05,1.0000000000e+15,3.8140280000e+02
1.4825840000e-05,1.0000000000e+15,3.8264150000e+02
1.4827010000e-05,1.0000000000e+15,3.8388420000e+02
1.4828190000e-05,1.0000000000e+15,3.8513100000e+02
1.4829360000e-05,1.0000000000e+15,3.8638180000e+02
1.4830540000e-05,1.0000000000e+15,3.8763660000e+02
1.4831710000e-05,1.0000000000e+15,3.8889560000e+02
1.4832890000e-05,1.0000000000e+15,3.9015860000e+02
1.4834060000e-05,1.0000000000e+15,3.9142570000e+02
1.4835240000e-05,1.0000000000e+15,3.9269690000e+02
1.4836410000e-05,1.0000000000e+15,3.9397230000e+02
1.4837590000e-05,1.0000000000e+15,3.9525180000e+02
1.4838760000e-05,1.0000000000e+15,3.9653550000e+02
1.4839930000e-05,1.0000000000e+15,3.9782330000e+02
1.4841110000e-05,1.0000000000e+15,3.9911530000e+02
1.4842280000e-05,1.0000000000e+15,4.0041150000e+02
1.4843450000e-05,1.0000000000e+15,4.0171200000e+02
1.4844630000e-05,1.0000000000e+15,4.0301660000e+02
1.4845800000e-05,1.0000000000e+15,4.0432550000e+02
1.4846970000e-05,1.0000000000e+15,4.0563860000e+02
1.4848140000e-05,1.0000000000e+15,4.0695600000e+02
1.4849320000e-05,1.0000000000e+15,4.0827770000e+02
1.4850490000e-05,1.0000000000e+15,4.0960370000e+02
1.4851660000e-05,1.0000000000e+15,4.1093390000e+02
1.4852830000e-05,1.0000000000e+15,4.1226850000e+02
1.4854000000e-05,1.0000000000e+15,4.1360750000e+02
1.4855170000e-05,1.0000000000e+15,4.1495070000e+02
1.4856350000e-05,1.0000000000e+15,4.1629840000e+02
1.4857520000e-05,1.0000000000e+15,4.1765040000e+02
1.4858690000e-05,1.0000000000e+15,4.1900680000e+02
1.4859860000e-05,1.0000000000e+15,4.2036760000e+02
1.4861030000e-05,1.0000000000e+15,4.2173280000e+02
1.4862200000e-05,1.0000000000e+15,4.2310250000e+02
1.4863370000e-05,1.0000000000e+15,4.2447660000e+02
1.4864540000e-05,1.0000000000e+15,4.2585520000e+02
1.4865710000e-05,1.0000000000e+15,4.2723830000e+02
1.4866880000e-05,1.0000000000e+15,4.2862580000e+02
1.4868050000e-05,1.0000000000e+15,4.3001790000e+02
1.4869220000e-05,1.0000000000e+15,4.3141440000e+02
1.4870380000e-05,1.0000000000e+15,4.3281550000e+02
1.4871550000e-05,1.0000000000e+15,4.3422120000e+02
1.4872720000e-05,1.0000000000e+15,4.3563140000e+02
1.4873890000e-05,1.0000000000e+15,4.3704620000e+02
1.4875060000e-05,1.0000000000e+15,4.3846560000e+02
1.4876230000e-05,1.0000000000e+15,4.3988960000e+02
1.4877390000e-05,1.0000000000e+15,4.4131830000e+02
1.4878560000e-05,1.0000000000e+15,4.4275160000e+02
1.4879730000e-05,1.0000000000e+15,4.4418950000e+02
1.4880900000e-05,1.0000000000e+15,4.4563210000e+02
1.4882060000e-05,1.0000000000e+15,4.4707940000e+02
1.4883230000e-05,1.0000000000e+15,4.4853140000e+02
1.4884400000e-05,1.0000000000e+15,4.4998810000e+02
1.4885560000e-05,1.0000000000e+15,4.5144950000e+02
1.4886730000e-05,1.0000000000e+15,4.5291570000e+02
1.4887890000e-05,1.0000000000e+15,4.5438660000e+02
1.4889060000e-05,1.0000000000e+15,4.5586230000e+02
1.4890230000e-05,1.0000000000e+15,4.5734280000e+02
1.4891390000e-05,1.0000000000e+15,4.5882810000e+02
1.4892560000e-05,1.0000000000e+15,4.6031830000e+02
1.4893720000e-05,1.0000000000e+15,4.6181330000e+02
1.4894890000e-05,1.0000000000e+15,4.6331310000e+02
1.4896050000e-05,1.0000000000e+15,4.6481780000e+02
1.4897220000e-05,1.0000000000e+15,4.6632740000e+02
1.4898380000e-05,1.0000000000e+15,4.6784190000e+02
1.4899550000e-05,1.0000000000e+15,4.6936130000e+02
1.4900710000e-05,1.0000000000e+15,4.7088570000e+02
1.4901870000e-05,1.0000000000e+15,4.7241500000e+02
1.4903040000e-05,1.0000000000e+15,4.7394920000e+02
1.4904200000e-05,1.0000000000e+15,4.7548850000e+02
1.4905360000e-05,1.0000000000e+15,4.7703270000e+02
1.4906530000e-05,1.0000000000e+15,4.7858200000e+02
1.4907690000e-05,1.0000000000e+15,4.8013630000e+02
1.4908850000e-05,1.0000000000e+15,4.8169570000e+02
1.4910020000e-05,1.0000000000e+15,4.8326010000e+02
1.4911180000e-05,1.0000000000e+15,4.8482950000e+02
1.4912340000e-05,1.0000000000e+15,4.8640410000e+02
1.4913500000e-05,1.0000000000e+15,4.8798380000e+02
1.4914660000e-05,1.0000000000e+15,4.8956870000e+02
1.4915830000e-05,1.0000000000e+15,4.9115860000e+02
1.4916990000e-05,1.0000000000e+15,4.9275380000e+02
1.4918150000e-05,1.0000000000e+15,4.9435410000e+02
1.4919310000e-05,1.0000000000e+15,4.9595960000e+02
1.4920470000e-05,1.0000000000e+15,4.9757040000e+02
1.4921630000e-05,1.0000000000e+15,4.9918630000e+02
1.4922790000e-05,1.0000000000e+15,5.0080750000e+02
1.4923950000e-05,1.0000000000e+15,5.0243400000e+02
1.4925110000e-05,1.0000000000e+15,5.0406580000e+02
1.4926270000e-05,1.0000000000e+15,5.0570280000e+02
1.4927430000e-05,1.0000000000e+15,5.0734520000e+02
1.4928590000e-05,1.0000000000e+15,5.0899290000e+02
1.4929750000e-05,1.0000000000e+15,5.1064600000e+02
1.4930910000e-05,1.0000000000e+15,5.1230440000e+02
1.4932070000e-05,1.0000000000e+15,5.1396820000e+02
1.4933230000e-05,1.0000000000e+15,5.1563750000e+02
1.4934390000e-05,1.0000000000e+15,5.1731210000e+02
1.4935550000e-05,1.0000000000e+15,5.1899220000e+02
1.4936710000e-05,1.0000000000e+15,5.2067770000e+02
1.4937870000e-05,1.0000000000e+15,5.2236870000e+02
1.4939020000e-05,1.0000000000e+15,5.2406520000e+02
1.4940180000e-05,1.0000000000e+15,5.2576730000e+02
1.4941340000e-05,1.0000000000e+15,5.2747480000e+02
1.4942500000e-05,1.0000000000e+15,5.2918790000e+02
1.4943650000e-05,1.0000000000e+15,5.3090650000e+02
1.4944810000e-05,1.0000000000e+15,5.3263080000e+02
1.4945970000e-05,1.0000000000e+15,5.3436060000e+02
1.4947130000e-05,1.0000000000e+15,5.3609600000e+02
1.4948280000e-05,1.0000000000e+15,5.3783710000e+02
1.4949440000e-05,1.0000000000e+15,5.3958390000e+02
1.4950590000e-05,1.0000000000e+15,5.4133630000e+02
1.4951750000e-05,1.0000000000e+15,5.4309440000e+02
1.4952910000e-05,1.0000000000e+15,5.4485820000e+02
1.4954060000e-05,1.0000000000e+15,5.4662770000e+02
1.4955220000e-05,1.0000000000e+15,5.4840300000e+02
1.4956370000e-05,1.0000000000e+15,5.5018410000e+02
1.4957530000e-05,1.0000000000e+15,5.5197090000e+02
1.4958680000e-05,1.0000000000e+15,5.5376360000e+02
1.4959840000e-05,1.0000000000e+15,5.5556200000e+02
1.4960990000e-05,1.0000000000e+15,5.5736630000e+02
1.4962150000e-05,1.0000000000e+15,5.5917650000e+02
1.4963300000e-05,1.0000000000e+15,5.6099250000e+02
1.4964460000e-05,1.0000000000e+15,5.6281450000e+02
1.4965610000e-05,1.0000000000e+15,5.6464230000e+02
1.4966760000e-05,1.0000000000e+15,5.6647610000e+02
1.4967920000e-05,1.0000000000e+15,5.6831590000e+02
1.4969070000e-05,1.0000000000e+15,5.7016160000e+02
1.4970230000e-05,1.0000000000e+15,5.7201330000e+02
1.4971380000e-05,1.0000000000e+15,5.7387110000e+02
1.4972530000e-05,1.0000000000e+15,5.7573480000e+02
1.4973680000e-05,1.0000000000e+15,5.7760470000e+02
1.4974840000e-05,1.0000000000e+15,5.7948060000e+02
1.4975990000e-05,1.0000000000e+15,5.8136250000e+02
1.4977140000e-05,1.0000000000e+15,5.8325060000e+02
1.4978290000e-05,1.0000000000e+15,5.8514490000e+02
1.4979450000e-05,1.0000000000e+15,5.8704530000e+02
1.4980600000e-05,1.0000000000e+15,5.8895180000e+02
1.4981750000e-05,1.0000000000e+15,5.9086460000e+02
1.4982900000e-05,1.0000000000e+15,5.9278350000e+02
1.4984050000e-05,1.0000000000e+15,5.9470870000e+02
1.4985200000e-05,1.0000000000e+15,5.9664010000e+02
1.4986350000e-05,1.0000000000e+15,5.9857790000e+02
1.4987500000e-05,1.0000000000e+15,6.0052190000e+02
1.4988650000e-05,1.0000000000e+15,6.0247220000e+02
1.4989800000e-05,1.0000000000e+15,6.0442890000e+02
1.4990950000e-05,1.0000000000e+15,6.0639190000e+02
1.4992100000e-05,1.0000000000e+15,6.0836120000e+02
1.4993250000e-05,1.0000000000e+15,6.1033700000e+02
1.4994400000e-05,1.0000000000e+15,6.1231920000e+02
1.4995550000e-05,1.0000000000e+15,6.1430790000e+02
1.4996700000e-05,1.0000000000e+15,6.1630300000e+02
1.4997850000e-05,1.0000000000e+15,6.1830450000e+02
1.4999000000e-05,1.0000000000e+15,6.2031260000e+02
1.5000150000e-05,1.0000000000e+15,6.2232720000e+02
1.5001300000e-05,1.0000000000e+15,6.2434830000e+02
1.5002450000e-05,1.0000000000e+15,6.2637600000e+02
1.5003590000e-05,1.0000000000e+15,6.2841030000e+02
1.5004740000e-05,1.0000000000e+15,6.3045120000e+02
1.5005890000e-05,1.0000000000e+15,6.3249880000e+02
1.5007040000e-05,1.0000000000e+15,6.3455290000e+02
1.5008190000e-05,1.0000000000e+15,6.3661380000e+02
1.5009330000e-05,1.0000000000e+15,6.3868130000e+02
1.5010480000e-05,1.0000000000e+15,6.4075560000e+02
1.5011630000e-05,1.0000000000e+15,6.4283660000e+02
1.5012770000e-05,1.0000000000e+15,6.4492430000e+02
1.5013920000e-05,1.0000000000e+15,6.4701880000e+02
1.5015070000e-05,1.0000000000e+15,6.4912020000e+02
1.5016210000e-05,1.0000000000e+15,6.5122830000e+02
1.5017360000e-05,1.0000000000e+15,6.5334330000e+02
1.5018500000e-05,1.0000000000e+15,6.5546520000e+02
1.5019650000e-05,1.0000000000e+15,6.5759400000e+02
1.5020800000e-05,1.0000000000e+15,6.5972960000e+02
1.5021940000e-05,1.0000000000e+15,6.6187220000e+02
1.5023090000e-05,1.0000000000e+15,6.6402180000e+02
1.5024230000e-05,1.0000000000e+15,6.6617840000e+02
1.5025380000e-05,1.0000000000e+15,6.6834190000e+02
1.5026520000e-05,1.0000000000e+15,6.7051250000e+02
1.5027670000e-05,1.0000000000e+15,6.7269010000e+02
1.5028810000e-05,1.0000000000e+15,6.7487480000e+02
1.5029950000e-05,1.0000000000e+15,6.7706660000e+02
1.5031100000e-05,1.0000000000e+15,6.7926560000e+02
1.5032240000e-05,1.0000000000e+15,6.8147160000e+02
1.5033390000e-05,1.0000000000e+15,6.8368480000e+02
1.5034530000e-05,1.0000000000e+15,6.8590530000e+02
1.5035670000e-05,1.0000000000e+15,6.8813290000e+02
1.5036820000e-05,1.0000000000e+15,6.9036770000e+02
1.5037960000e-05,1.0000000000e+15,6.9260980000e+02
1.5039100000e-05,1.0000000000e+15,6.9485920000e+02
1.5040240000e-05,1.0000000000e+15,6.9711590000e+02
1.5041390000e-05,1.0000000000e+15,6.9938000000e+02
1.5042530000e-05,1.0000000000e+15,7.0165140000e+02
1.5043670000e-05,1.0000000000e+15,7.0393010000e+02
1.5044810000e-05,1.0000000000e+15,7.0621630000e+02
1.5045950000e-05,1.0000000000e+15,7.0850990000e+02
1.5047100000e-05,1.0000000000e+15,7.1081090000e+02
1.5048240000e-05,1.0000000000e+15,7.1311940000e+02
1.5049380000e-05,1.0000000000e+15,7.1543540000e+02
1.5050520000e-05,1.0000000000e+15,7.1775900000e+02
1.5051660000e-05,1.0000000000e+15,7.2009000000e+02
1.5052800000e-05,1.0000000000e+15,7.2242870000e+02
1.5053940000e-05,1.0000000000e+15,7.2477490000e+02
1.5055080000e-05,1.0000000000e+15,7.2712880000e+02
1.5056220000e-05,1.0000000000e+15,7.2949030000e+02
1.5057360000e-05,1.0000000000e+15,7.3185950000e+02
1.5058500000e-05,1.0000000000e+15,7.3423630000e+02
1.5059640000e-05,1.0000000000e+15,7.3662090000e+02
1.5060780000e-05,1.0000000000e+15,7.3901320000e+02
1.5061920000e-05,1.0000000000e+15,7.4141330000e+02
1.5063060000e-05,1.0000000000e+15,7.4382120000e+02
1.5064200000e-05,1.0000000000e+15,7.4623700000e+02
1.5065340000e-05,1.0000000000e+15,7.4866050000e+02
1.5066480000e-05,1.0000000000e+15,7.5109200000e+02
1.5067610000e-05,1.0000000000e+15,7.5353130000e+02
1.5068750000e-05,1.0000000000e+15,7.5597850000e+02
1.5069890000e-05,1.0000000000e+15,7.5843370000e+02
1.5071030000e-05,1.0000000000e+15,7.6089690000e+02
1.5072170000e-05,1.0000000000e+15,7.6336810000e+02
1.5073300000e-05,1.0000000000e+15,7.6584730000e+02
1.5074440000e-05,1.0000000000e+15,7.6833450000e+02
1.5075580000e-05,1.0000000000e+15,7.7082990000e+02
1.5076720000e-05,1.0000000000e+15,7.7333330000e+02
1.5077850000e-05,1.0000000000e+15,7.7584490000e+02
1.5078990000e-05,1.0000000000e+15,7.7836460000e+02
1.5080130000e-05,1.0000000000e+15,7.8089250000e+02
1.5081260000e-05,1.0000000000e+15,7.8342860000e+02
1.5082400000e-05,1.0000000000e+15,7.8597300000e+02
1.5083530000e-05,1.0000000000e+15,7.8852560000e+02
1.5084670000e-05,1.0000000000e+15,7.9108650000e+02
1.5085810000e-05,1.0000000000e+15,7.9365570000e+02
1.5086940000e-05,1.0000000000e+15,7.9623330000e+02
1.5088080000e-05,1.0000000000e+15,7.9881920000e+02
1.5089210000e-05,1.0000000000e+15,8.0141350000e+02
1.5090350000e-05,1.0000000000e+15,8.0401630000e+02
1.5091480000e-05,1.0000000000e+15,8.0662750000e+02
1.5092620000e-05,1.0000000000e+15,8.0924720000e+02
1.5093750000e-05,1.0000000000e+15,8.1187540000e+02
1.5094880000e-05,1.0000000000e+15,8.1451210000e+02
1.5096020000e-05,1.0000000000e+15,8.1715740000e+02
1.5097150000e-05,1.0000000000e+15,8.1981130000e+02
1.5098290000e-05,1.0000000000e+15,8.2247380000e+02
1.5099420000e-05,1.0000000000e+15,8.2514500000e+02
1.5100550000e-05,1.0000000000e+15,8.2782480000e+02
1.5101690000e-05,1.0000000000e+15,8.3051340000e+02
1.5102820000e-05,1.0000000000e+15,8.3321060000e+02
1.5103950000e-05,1.0000000000e+15,8.3591670000e+02
1.5105090000e-05,1.0000000000e+15,8.3863150000e+02
1.5106220000e-05,1.0000000000e+15,8.4135510000e+02
1.5107350000e-05,1.0000000000e+15,8.4408760000e+02
1.5108480000e-05,1.0000000000e+15,8.4682900000e+02
1.5109620000e-05,1.0000000000e+15,8.4957920000e+02
1.5110750000e-05,1.0000000000e+15,8.5233840000e+02
1.5111880000e-05,1.0000000000e+15,8.5510650000e+02
1.5113010000e-05,1.0000000000e+15,8.5788370000e+02
1.5114140000e-05,1.0000000000e+15,8.6066980000e+02
1.5115270000e-05,1.0000000000e+15,8.6346510000e+02
1.5116400000e-05,1.0000000000e+15,8.6626930000e+02
1.5117540000e-05,1.0000000000e+15,8.6908270000e+02
1.5118670000e-05,1.0000000000e+15,8.7190530000e+02
1.5119800000e-05,1.0000000000e+15,8.7473700000e+02
1.5120930000e-05,1.0000000000e+15,8.7757790000e+02
1.5122060000e-05,1.0000000000e+15,8.8042800000e+02
1.5123190000e-05,1.0000000000e+15,8.8328740000e+02
1.5124320000e-05,1.0000000000e+15,8.8615600000e+02
1.5125450000e-05,1.0000000000e+15,8.8903400000e+02
1.5126580000e-05,1.0000000000e+15,8.9192130000e+02
1.5127710000e-05,1.0000000000e+15,8.9481800000e+02
1.5128840000e-05,1.0000000000e+15,8.9772410000e+02
1.5129970000e-05,1.0000000000e+15,9.0063970000e+02
1.5131090000e-05,1.0000000000e+15,9.0356470000e+02
1.5132220000e-05,1.0000000000e+15,9.0649920000e+02
1.5133350000e-05,1.0000000000e+15,9.0944330000e+02
1.5134480000e-05,1.0000000000e+15,9.1239690000e+02
1.5135610000e-05,1.0000000000e+15,9.1536010000e+02
1.5136740000e-05,1.0000000000e+15,9.1833290000e+02
1.5137860000e-05,1.0000000000e+15,9.2131540000e+02
1.5138990000e-05,1.0000000000e+15,9.2430760000e+02
1.5140120000e-05,1.0000000000e+15,9.2730940000e+02
1.5141250000e-05,1.0000000000e+15,9.3032110000e+02
1.5142370000e-05,1.0000000000e+15,9.3334250000e+02
1.5143500000e-05,1.0000000000e+15,9.3637370000e+02
1.5144630000e-05,1.0000000000e+15,9.3941480000e+02
1.5145750000e-05,1.0000000000e+15,9.4246570000e+02
1.5146880000e-05,1.0000000000e+15,9.4552660000e+02
1.5148010000e-05,1.0000000000e+15,9.4859740000e+02
1.5149130000e-05,1.0000000000e+15,9.5167820000e+02
1.5150260000e-05,1.0000000000e+15,9.5476890000e+02
1.5151390000e-05,1.0000000000e+15,9.5786980000e+02
1.5152510000e-05,1.0000000000e+15,9.6098060000e+02
1.5153640000e-05,1.0000000000e+15,9.6410160000e+02
1.5154760000e-05,1.0000000000e+15,9.6723280000e+02
1.5155890000e-05,1.0000000000e+15,9.7037410000e+02
1.5157010000e-05,1.0000000000e+15,9.7352550000e+02
1.5158140000e-05,1.0000000000e+15,9.7668730000e+02
1.5159260000e-05,1.0000000000e+15,9.7985930000e+02
1.5160390000e-05,1.0000000000e+15,9.8304160000e+02
1.5161510000e-05,1.0000000000e+15,9.8623420000e+02
1.5162640000e-05,1.0000000000e+15,9.8943720000e+02
1.5163760000e-05,1.0000000000e+15,9.9265060000e+02
1.5164880000e-05,1.0000000000e+15,9.9587450000e+02
1.5166010000e-05,1.0000000000e+15,9.9910880000e+02
1.5167130000e-05,1.0000000000e+15,1.0023540000e+03
1.5168250000e-05,1.0000000000e+15,1.0056090000e+03
1.5169380000e-05,1.0000000000e+15,1.0088750000e+03
1.5170500000e-05,1.0000000000e+15,1.0121510000e+03
1.5171620000e-05,1.0000000000e+15,1.0154390000e+03
1.5172750000e-05,1.0000000000e+15,1.0187360000e+03
1.5173870000e-05,1.0000000000e+15,1.0220450000e+03
1.5174990000e-05,1.0000000000e+15,1.0253640000e+03
1.5176110000e-05,1.0000000000e+15,1.0286940000e+03
1.5177230000e-05,1.0000000000e+15,1.0320350000e+03
1.5178360000e-05,1.0000000000e+15,1.0353870000e+03
1.5179480000e-05,1.0000000000e+15,1.0387500000e+03
1.5180600000e-05,1.0000000000e+15,1.0421230000e+03
1.5181720000e-05,1.0000000000e+15,1.0455080000e+03
1.5182840000e-05,1.0000000000e+15,1.0489030000e+03
1.5183960000e-05,1.0000000000e+15,1.0523100000e+03
1.5185080000e-05,1.0000000000e+15,1.0557270000e+03
1.5186210000e-05,1.0000000000e+15,1.0591560000e+03
1.5187330000e-05,1.0000000000e+15,1.0625960000e+03
1.5188450000e-05,1.0000000000e+15,1.0660470000e+03
1.5189570000e-05,1.0000000000e+15,1.0695090000e+03
1.5190690000e-05,1.0000000000e+15,1.0729830000e+03
1.5191810000e-05,1.0000000000e+15,1.0764670000e+03
1.5192930000e-05,1.0000000000e+15,1.0799630000e+03
1.5194050000e-05,1.0000000000e+15,1.0834710000e+03
1.5195170000e-05,1.0000000000e+15,1.0869900000e+03
1.5196280000e-05,1.0000000000e+15,1.0905200000e+03
1.5197400000e-05,1.0000000000e+15,1.0940620000e+03
1.5198520000e-05,1.0000000000e+15,1.0976150000e+03
1.5199640000e-05,1.0000000000e+15,1.1011790000e+03
1.5200760000e-05,1.0000000000e+15,1.1047560000e+03
1.5201880000e-05,1.0000000000e+15,1.1083440000e+03
1.5203000000e-05,1.0000000000e+15,1.1119430000e+03
1.5204110000e-05,1.0000000000e+15,1.1155550000e+03
1.5205230000e-05,1.0000000000e+15,1.1191780000e+03
1.5206350000e-05,1.0000000000e+15,1.1228120000e+03
1.5207470000e-05,1.0000000000e+15,1.1264590000e+03
1.5208590000e-05,1.0000000000e+15,1.1301170000e+03
1.5209700000e-05,1.0000000000e+15,1.1337880000e+03
1.5210820000e-05,1.0000000000e+15,1.1374700000e+03
1.5211940000e-05,1.0000000000e+15,1.1411640000e+03
1.5213050000e-05,1.0000000000e+15,1.1448700000e+03
1.5214170000e-05,1.0000000000e+15,1.1485880000e+03
1.5215290000e-05,1.0000000000e+15,1.1523190000e+03
1.5216400000e-05,1.0000000000e+15,1.1560610000e+03
1.5217520000e-05,1.0000000000e+15,1.1598160000e+03
1.5218630000e-05,1.0000000000e+15,1.1635820000e+03
1.5219750000e-05,1.0000000000e+15,1.1673610000e+03
1.5220870000e-05,1.0000000000e+15,1.1711530000e+03
1.5221980000e-05,1.0000000000e+15,1.1749560000e+03
1.5223100000e-05,1.0000000000e+15,1.1787720000e+03
1.5224210000e-05,1.0000000000e+15,1.1826000000e+03
1.5225330000e-05,1.0000000000e+15,1.1864410000e+03
1.5226440000e-05,1.0000000000e+15,1.1902940000e+03
1.5227560000e-05,1.0000000000e+15,1.1941600000e+03
1.5228670000e-05,1.0000000000e+15,1.1980380000e+03
1.5229790000e-05,1.0000000000e+15,1.2019290000e+03
1.5230900000e-05,1.0000000000e+15,1.2058330000e+03
1.5232010000e-05,1.0000000000e+15,1.2097490000e+03
1.5233130000e-05,1.0000000000e+15,1.2136780000e+03
1.5234240000e-05,1.0000000000e+15,1.2176200000e+03
1.5235350000e-05,1.0000000000e+15,1.2215740000e+03
1.5236470000e-05,1.0000000000e+15,1.2255410000e+03
1.5237580000e-05,1.0000000000e+15,1.2295220000e+03
1.5238690000e-05,1.0000000000e+15,1.2335150000e+03
1.5239810000e-05,1.0000000000e+15,1.2375210000e+03
1.5240920000e-05,1.0000000000e+15,1.2415400000e+03
1.5242030000e-05,1.0000000000e+15,1.2455720000e+03
1.5243140000e-05,1.0000000000e+15,1.2496170000e+03
1.5244260000e-05,1.0000000000e+15,1.2536760000e+03
1.5245370000e-05,1.0000000000e+15,1.2577470000e+03
