r,rho,m
1.3516690000e-05,1.0000000000e+15,1.4101550000e+01
1.3518100000e-05,1.0000000000e+15,1.4147350000e+01
1.3519520000e-05,1.0000000000e+15,1.4193290000e+01
1.3520930000e-05,1.0000000000e+15,1.4239390000e+01
1.3522340000e-05,1.0000000000e+15,1.4285640000e+01
1.3523760000e-05,1.0000000000e+15,1.4332030000e+01
1.3525170000e-05,1.0000000000e+15,1.4378580000e+01
1.3526580000e-05,1.0000000000e+15,1.4425280000e+01
1.3527990000e-05,1.0000000000e+15,1.4472120000e+01
1.3529410000e-05,1.0000000000e+15,1.4519130000e+01
1.3530820000e-05,1.0000000000e+15,1.4566280000e+01
1.3532230000e-05,1.0000000000e+15,1.4613590000e+01
1.3533640000e-05,1.0000000000e+15,1.4661050000e+01
1.3535050000e-05,1.0000000000e+15,1.4708660000e+01
1.3536460000e-05,1.0000000000e+15,1.4756430000e+01
1.3537870000e-05,1.0000000000e+15,1.4804360000e+01
1.3539280000e-05,1.0000000000e+15,1.4852440000e+01
1.3540690000e-05,1.0000000000e+15,1.4900670000e+01
1.3542100000e-05,1.0000000000e+15,1.4949070000e+01
1.3543510000e-05,1.0000000000e+15,1.4997620000e+01
1.3544920000e-05,1.0000000000e+15,1.5046320000e+01
1.3546330000e-05,1.0000000000e+15,1.5095190000e+01
1.3547740000e-05,1.0000000000e+15,1.5144220000e+01
1.3549140000e-05,1.0000000000e+15,1.5193400000e+01
1.3550550000e-05,1.0000000000e+15,1.5242740000e+01
1.3551960000e-05,1.0000000000e+15,1.5292250000e+01
1.3553370000e-05,1.0000000000e+15,1.5341910000e+01
1.3554770000e-05,1.0000000000e+15,1.5391740000e+01
1.3556180000e-05,1.0000000000e+15,1.5441730000e+01
1.3557590000e-05,1.0000000000e+15,1.5491880000e+01
1.3558990000e-05,1.0000000000e+15,1.5542190000e+01
1.3560400000e-05,1.0000000000e+15,1.5592670000e+01
1.3561800000e-05,1.0000000000e+15,1.5643310000e+01
1.3563210000e-05,1.0000000000e+15,1.5694110000e+01
1.3564610000e-05,1.0000000000e+15,1.5745080000e+01
1.3566020000e-05,1.0000000000e+15,1.5796220000e+01
1.3567420000e-05,1.0000000000e+15,1.5847520000e+01
1.3568830000e-05,1.0000000000e+15,1.5898990000e+01
1.3570230000e-05,1.0000000000e+15,1.5950620000e+01
1.3571630000e-05,1.0000000000e+15,1.6002430000e+01
1.3573040000e-05,1.0000000000e+15,1.6054400000e+01
1.3574440000e-05,1.0000000000e+15,1.6106540000e+01
1.3575840000e-05,1.0000000000e+15,1.6158850000e+01
1.3577240000e-05,1.0000000000e+15,1.6211330000e+01
1.3578640000e-05,1.0000000000e+15,1.6263980000e+01
1.3580050000e-05,1.0000000000e+15,1.6316800000e+01
1.3581450000e-05,1.0000000000e+15,1.6369790000e+01
1.3582850000e-05,1.0000000000e+15,1.6422950000e+01
1.3584250000e-05,1.0000000000e+15,1.6476290000e+01
1.3585650000e-05,1.0000000000e+15,1.6529800000e+01
1.3587050000e-05,1.0000000000e+15,1.6583480000e+01
1.3588450000e-05,1.0000000000e+15,1.6637340000e+01
1.3589850000e-05,1.0000000000e+15,1.6691380000e+01
1.3591250000e-05,1.0000000000e+15,1.6745580000e+01
1.3592650000e-05,1.0000000000e+15,1.6799970000e+01
1.3594050000e-05,1.0000000000e+15,1.6854530000e+01
1.3595440000e-05,1.0000000000e+15,1.6909270000e+01
1.3596840000e-05,1.0000000000e+15,1.6964190000e+01
1.3598240000e-05,1.0000000000e+15,1.7019280000e+01
1.3599640000e-05,1.0000000000e+15,1.7074550000e+01
1.3601030000e-05,1.0000000000e+15,1.7130010000e+01
1.3602430000e-05,1.0000000000e+15,1.7185640000e+01
1.3603830000e-05,1.0000000000e+15,1.7241450000e+01
1.3605220000e-05,1.0000000000e+15,1.7297450000e+01
1.3606620000e-05,1.0000000000e+15,1.7353630000e+01
1.3608020000e-05,1.0000000000e+15,1.7409990000e+01
1.3609410000e-05,1.0000000000e+15,1.7466530000e+01
1.3610810000e-05,1.0000000000e+15,1.7523260000e+01
1.3612200000e-05,1.0000000000e+15,1.7580170000e+01
1.3613600000e-05,1.0000000000e+15,1.7637260000e+01
1.3614990000e-05,1.0000000000e+15,1.7694540000e+01
1.3616390000e-05,1.0000000000e+15,1.7752010000e+01
1.3617780000e-05,1.0000000000e+15,1.7809660000e+01
1.3619170000e-05,1.0000000000e+15,1.7867500000e+01
1.3620570000e-05,1.0000000000e+15,1.7925530000e+01
1.3621960000e-05,1.0000000000e+15,1.7983750000e+01
1.3623350000e-05,1.0000000000e+15,1.8042150000e+01
1.3624740000e-05,1.0000000000e+15,1.8100750000e+01
1.3626140000e-05,1.0000000000e+15,1.8159540000e+01
1.3627530000e-05,1.0000000000e+15,1.8218510000e+01
