r,rho,m,P,H
3.0509690000e+05,1.8612880000e+15,1.1462923382e-01,1.6063340000e+36,6.3050460000e+05
3.0609690000e+05,1.8604050000e+15,1.1572749833e-01,1.6037840000e+36,6.2837650000e+05
3.0709690000e+05,1.8595190000e+15,1.1683245161e-01,1.6012300000e+36,6.2626160000e+05
3.0809690000e+05,1.8586310000e+15,1.1794409365e-01,1.5986710000e+36,6.2415980000e+05
3.0909690000e+05,1.8577410000e+15,1.1906242445e-01,1.5961070000e+36,6.2207090000e+05
3.1009690000e+05,1.8568470000e+15,1.2018749430e-01,1.5935390000e+36,6.1999470000e+05
3.1109690000e+05,1.8559520000e+15,1.2131925291e-01,1.5909670000e+36,6.1793120000e+05
3.1209690000e+05,1.8550530000e+15,1.2245780087e-01,1.5883900000e+36,6.1588030000e+05
3.1309690000e+05,1.8541520000e+15,1.2360313818e-01,1.5858090000e+36,6.1384170000e+05
3.1409690000e+05,1.8532490000e+15,1.2475521453e-01,1.5832230000e+36,6.1181540000e+05
3.1509680000e+05,1.8523430000e+15,1.2591408024e-01,1.5806330000e+36,6.0980130000e+05
3.1609680000e+05,1.8514340000e+15,1.2707973528e-01,1.5780390000e+36,6.0779930000e+05
3.1709680000e+05,1.8505230000e+15,1.2825222996e-01,1.5754410000e+36,6.0580910000e+05
3.1809680000e+05,1.8496100000e+15,1.2943161457e-01,1.5728380000e+36,6.0383080000e+05
3.1909680000e+05,1.8486930000e+15,1.3061778853e-01,1.5702310000e+36,6.0186420000e+05
3.2009680000e+05,1.8477750000e+15,1.3181085241e-01,1.5676200000e+36,5.9990910000e+05
3.2109680000e+05,1.8468530000e+15,1.3301080622e-01,1.5650050000e+36,5.9796550000e+05
3.2209680000e+05,1.8459300000e+15,1.3421759967e-01,1.5623860000e+36,5.9603330000e+05
3.2309680000e+05,1.8450030000e+15,1.3543133333e-01,1.5597630000e+36,5.9411230000e+05
3.2409680000e+05,1.8440750000e+15,1.3665200722e-01,1.5571350000e+36,5.9220240000e+05
3.2509670000e+05,1.8431430000e+15,1.3787962132e-01,1.5545040000e+36,5.9030360000e+05
3.2609670000e+05,1.8422090000e+15,1.3911417564e-01,1.5518680000e+36,5.8841570000e+05
3.2709670000e+05,1.8412730000e+15,1.4035567018e-01,1.5492290000e+36,5.8653860000e+05
3.2809670000e+05,1.8403340000e+15,1.4160420553e-01,1.5465860000e+36,5.8467230000e+05
3.2909670000e+05,1.8393930000e+15,1.4285968109e-01,1.5439390000e+36,5.8281650000e+05
3.3009670000e+05,1.8384490000e+15,1.4412214716e-01,1.5412880000e+36,5.8097130000e+05
3.3109670000e+05,1.8375020000e+15,1.4539165403e-01,1.5386330000e+36,5.7913650000e+05
3.3209670000e+05,1.8365530000e+15,1.4666820171e-01,1.5359740000e+36,5.7731200000e+05
3.3309670000e+05,1.8356020000e+15,1.4795179019e-01,1.5333120000e+36,5.7549770000e+05
3.3409670000e+05,1.8346480000e+15,1.4924246976e-01,1.5306460000e+36,5.7369350000e+05
3.3509660000e+05,1.8336920000e+15,1.5054019013e-01,1.5279760000e+36,5.7189940000e+05
3.3609660000e+05,1.8327330000e+15,1.5184500160e-01,1.5253020000e+36,5.7011520000e+05
3.3709660000e+05,1.8317710000e+15,1.5315690416e-01,1.5226250000e+36,5.6834080000e+05
3.3809660000e+05,1.8308070000e+15,1.5447594811e-01,1.5199440000e+36,5.6657620000e+05
3.3909660000e+05,1.8298410000e+15,1.5580208314e-01,1.5172600000e+36,5.6482130000e+05
3.4009660000e+05,1.8288720000e+15,1.5713535957e-01,1.5145720000e+36,5.6307590000e+05
3.4109660000e+05,1.8279010000e+15,1.5847582767e-01,1.5118800000e+36,5.6134000000e+05
3.4209660000e+05,1.8269270000e+15,1.5982343715e-01,1.5091850000e+36,5.5961350000e+05
3.4309660000e+05,1.8259510000e+15,1.6117818802e-01,1.5064870000e+36,5.5789630000e+05
3.4409660000e+05,1.8249720000e+15,1.6254018086e-01,1.5037850000e+36,5.5618830000e+05
3.4509650000e+05,1.8239910000e+15,1.6390936537e-01,1.5010790000e+36,5.5448950000e+05
3.4609650000e+05,1.8230070000e+15,1.6528574156e-01,1.4983700000e+36,5.5279970000e+05
3.4709650000e+05,1.8220210000e+15,1.6666941001e-01,1.4956580000e+36,5.5111890000e+05
3.4809650000e+05,1.8210320000e+15,1.6806027013e-01,1.4929430000e+36,5.4944700000e+05
3.4909650000e+05,1.8200410000e+15,1.6945837222e-01,1.4902240000e+36,5.4778390000e+05
3.5009650000e+05,1.8190470000e+15,1.7086376657e-01,1.4875020000e+36,5.4612950000e+05
3.5109650000e+05,1.8180510000e+15,1.7227645318e-01,1.4847770000e+36,5.4448380000e+05
3.5209650000e+05,1.8170520000e+15,1.7369638176e-01,1.4820480000e+36,5.4284660000e+05
3.5309650000e+05,1.8160510000e+15,1.7512365289e-01,1.4793160000e+36,5.4121800000e+05
3.5409650000e+05,1.8150480000e+15,1.7655821628e-01,1.4765820000e+36,5.3959770000e+05
3.5509640000e+05,1.8140420000e+15,1.7800012222e-01,1.4738440000e+36,5.3798580000e+05
3.5609640000e+05,1.8130340000e+15,1.7944937070e-01,1.4711020000e+36,5.3638220000e+05
3.5709640000e+05,1.8120230000e+15,1.8090596174e-01,1.4683580000e+36,5.3478680000e+05
3.5809640000e+05,1.8110100000e+15,1.8236994563e-01,1.4656110000e+36,5.3319950000e+05
3.5909640000e+05,1.8099940000e+15,1.8384127206e-01,1.4628610000e+36,5.3162020000e+05
3.6009640000e+05,1.8089760000e+15,1.8531999133e-01,1.4601080000e+36,5.3004890000e+05
3.6109640000e+05,1.8079550000e+15,1.8680610345e-01,1.4573520000e+36,5.2848560000e+05
3.6209640000e+05,1.8069320000e+15,1.8829960840e-01,1.4545930000e+36,5.2693010000e+05
3.6309640000e+05,1.8059070000e+15,1.8980055650e-01,1.4518310000e+36,5.2538230000e+05
3.6409640000e+05,1.8048790000e+15,1.9130894772e-01,1.4490660000e+36,5.2384220000e+05
3.6509630000e+05,1.8038490000e+15,1.9282478208e-01,1.4462980000e+36,5.2230980000e+05
3.6609630000e+05,1.8028160000e+15,1.9434805957e-01,1.4435280000e+36,5.2078500000e+05
3.6709630000e+05,1.8017810000e+15,1.9587878019e-01,1.4407550000e+36,5.1926760000e+05
3.6809630000e+05,1.8007430000e+15,1.9741699424e-01,1.4379790000e+36,5.1775770000e+05
3.6909630000e+05,1.7997030000e+15,1.9896275201e-01,1.4352000000e+36,5.1625520000e+05
3.7009630000e+05,1.7986610000e+15,2.0051595291e-01,1.4324190000e+36,5.1476000000e+05
3.7109630000e+05,1.7976160000e+15,2.0207664724e-01,1.4296350000e+36,5.1327200000e+05
3.7209630000e+05,1.7965690000e+15,2.0364488528e-01,1.4268480000e+36,5.1179120000e+05
3.7309630000e+05,1.7955190000e+15,2.0522066703e-01,1.4240590000e+36,5.1031750000e+05
3.7409630000e+05,1.7944670000e+15,2.0680399251e-01,1.4212670000e+36,5.0885090000e+05
3.7509620000e+05,1.7934120000e+15,2.0839486170e-01,1.4184730000e+36,5.0739130000e+05
3.7609620000e+05,1.7923550000e+15,2.0999327460e-01,1.4156760000e+36,5.0593860000e+05
3.7709620000e+05,1.7912960000e+15,2.1159928152e-01,1.4128770000e+36,5.0449280000e+05
3.7809620000e+05,1.7902340000e+15,2.1321288244e-01,1.4100750000e+36,5.0305380000e+05
3.7909620000e+05,1.7891700000e+15,2.1483407737e-01,1.4072710000e+36,5.0162160000e+05
3.8009620000e+05,1.7881040000e+15,2.1646286630e-01,1.4044640000e+36,5.0019610000e+05
3.8109620000e+05,1.7870350000e+15,2.1809924925e-01,1.4016550000e+36,4.9877720000e+05
3.8209620000e+05,1.7859630000e+15,2.1974332679e-01,1.3988440000e+36,4.9736490000e+05
3.8309620000e+05,1.7848900000e+15,2.2139499833e-01,1.3960300000e+36,4.9595920000e+05
3.8409620000e+05,1.7838130000e+15,2.2305426388e-01,1.3932140000e+36,4.9455990000e+05
3.8509610000e+05,1.7827350000e+15,2.2472127431e-01,1.3903960000e+36,4.9316710000e+05
3.8609610000e+05,1.7816540000e+15,2.2639587875e-01,1.3875760000e+36,4.9178060000e+05
3.8709610000e+05,1.7805710000e+15,2.2807817779e-01,1.3847530000e+36,4.9040050000e+05
3.8809610000e+05,1.7794850000e+15,2.2976822170e-01,1.3819280000e+36,4.8902660000e+05
3.8909610000e+05,1.7783970000e+15,2.3146590991e-01,1.3791010000e+36,4.8765890000e+05
3.9009610000e+05,1.7773070000e+15,2.3317129272e-01,1.3762720000e+36,4.8629740000e+05
3.9109610000e+05,1.7762140000e+15,2.3488437011e-01,1.3734410000e+36,4.8494200000e+05
3.9209610000e+05,1.7751190000e+15,2.3660519239e-01,1.3706080000e+36,4.8359270000e+05
3.9309610000e+05,1.7740210000e+15,2.3833375955e-01,1.3677730000e+36,4.8224940000e+05
3.9409610000e+05,1.7729210000e+15,2.4007007159e-01,1.3649360000e+36,4.8091200000e+05
3.9509600000e+05,1.7718190000e+15,2.4181412851e-01,1.3620970000e+36,4.7958050000e+05
3.9609600000e+05,1.7707140000e+15,2.4356593031e-01,1.3592550000e+36,4.7825490000e+05
3.9709600000e+05,1.7696070000e+15,2.4532552729e-01,1.3564120000e+36,4.7693520000e+05
3.9809600000e+05,1.7684980000e+15,2.4709286915e-01,1.3535670000e+36,4.7562110000e+05
3.9909600000e+05,1.7673860000e+15,2.4886800619e-01,1.3507210000e+36,4.7431280000e+05
4.0009600000e+05,1.7662720000e+15,2.5065093839e-01,1.3478720000e+36,4.7301020000e+05
4.0109600000e+05,1.7651550000e+15,2.5244171607e-01,1.3450220000e+36,4.7171320000e+05
4.0209600000e+05,1.7640360000e+15,2.5424023862e-01,1.3421690000e+36,4.7042170000e+05
4.0309600000e+05,1.7629150000e+15,2.5604665693e-01,1.3393150000e+36,4.6913580000e+05
4.0409600000e+05,1.7617920000e+15,2.5786082012e-01,1.3364600000e+36,4.6785540000e+05
4.0509590000e+05,1.7606660000e+15,2.5968287907e-01,1.3336020000e+36,4.6658050000e+05
4.0609590000e+05,1.7595380000e+15,2.6151278349e-01,1.3307430000e+36,4.6531090000e+05
4.0709590000e+05,1.7584070000e+15,2.6335053337e-01,1.3278830000e+36,4.6404670000e+05
4.0809590000e+05,1.7572740000e+15,2.6519612871e-01,1.3250200000e+36,4.6278770000e+05
4.0909590000e+05,1.7561390000e+15,2.6704961981e-01,1.3221560000e+36,4.6153410000e+05
4.1009590000e+05,1.7550010000e+15,2.6891095638e-01,1.3192910000e+36,4.6028570000e+05
4.1109590000e+05,1.7538610000e+15,2.7078018870e-01,1.3164240000e+36,4.5904240000e+05
4.1209590000e+05,1.7527190000e+15,2.7265731678e-01,1.3135560000e+36,4.5780430000e+05
4.1309590000e+05,1.7515740000e+15,2.7454234061e-01,1.3106860000e+36,4.5657130000e+05
4.1409590000e+05,1.7504270000e+15,2.7643531050e-01,1.3078140000e+36,4.5534340000e+05
4.1509580000e+05,1.7492780000e+15,2.7833617614e-01,1.3049410000e+36,4.5412050000e+05
4.1609580000e+05,1.7481260000e+15,2.8024493753e-01,1.3020670000e+36,4.5290250000e+05
4.1709580000e+05,1.7469720000e+15,2.8216169527e-01,1.2991920000e+36,4.5168950000e+05
4.1809580000e+05,1.7458150000e+15,2.8408634876e-01,1.2963150000e+36,4.5048140000e+05
4.1909580000e+05,1.7446570000e+15,2.8601894830e-01,1.2934360000e+36,4.4927820000e+05
4.2009580000e+05,1.7434960000e+15,2.8795949388e-01,1.2905570000e+36,4.4807970000e+05
4.2109580000e+05,1.7423320000e+15,2.8990803581e-01,1.2876760000e+36,4.4688610000e+05
4.2209580000e+05,1.7411670000e+15,2.9186452378e-01,1.2847940000e+36,4.4569720000e+05
4.2309580000e+05,1.7399990000e+15,2.9382900810e-01,1.2819110000e+36,4.4451300000e+05
4.2409580000e+05,1.7388280000e+15,2.9580143846e-01,1.2790260000e+36,4.4333350000e+05
4.2509570000e+05,1.7376560000e+15,2.9778186516e-01,1.2761410000e+36,4.4215860000e+05
4.2609570000e+05,1.7364810000e+15,2.9977028820e-01,1.2732540000e+36,4.4098830000e+05
4.2709570000e+05,1.7353030000e+15,3.0176675787e-01,1.2703660000e+36,4.3982250000e+05
4.2809570000e+05,1.7341240000e+15,3.0377117359e-01,1.2674770000e+36,4.3866130000e+05
4.2909570000e+05,1.7329420000e+15,3.0578363594e-01,1.2645880000e+36,4.3750460000e+05
4.3009570000e+05,1.7317580000e+15,3.0780414492e-01,1.2616970000e+36,4.3635230000e+05
4.3109570000e+05,1.7305710000e+15,3.0983265024e-01,1.2588050000e+36,4.3520450000e+05
4.3209570000e+05,1.7293820000e+15,3.1186920219e-01,1.2559120000e+36,4.3406100000e+05
4.3309570000e+05,1.7281910000e+15,3.1391380077e-01,1.2530180000e+36,4.3292190000e+05
4.3409570000e+05,1.7269980000e+15,3.1596639569e-01,1.2501230000e+36,4.3178700000e+05
4.3509560000e+05,1.7258020000e+15,3.1802708753e-01,1.2472280000e+36,4.3065650000e+05
4.3609560000e+05,1.7246040000e+15,3.2009582601e-01,1.2443310000e+36,4.2953020000e+05
4.3709560000e+05,1.7234030000e+15,3.2217266140e-01,1.2414340000e+36,4.2840820000e+05
4.3809560000e+05,1.7222010000e+15,3.2425754343e-01,1.2385360000e+36,4.2729030000e+05
4.3909560000e+05,1.7209960000e+15,3.2635047208e-01,1.2356370000e+36,4.2617650000e+05
4.4009560000e+05,1.7197880000e+15,3.2845149766e-01,1.2327370000e+36,4.2506690000e+05
4.4109560000e+05,1.7185790000e+15,3.3056067046e-01,1.2298360000e+36,4.2396140000e+05
4.4209560000e+05,1.7173670000e+15,3.3267783959e-01,1.2269350000e+36,4.2285990000e+05
4.4309560000e+05,1.7161530000e+15,3.3480315593e-01,1.2240330000e+36,4.2176240000e+05
4.4409560000e+05,1.7149360000e+15,3.3693661949e-01,1.2211310000e+36,4.2066890000e+05
4.4509550000e+05,1.7137170000e+15,3.3907812968e-01,1.2182280000e+36,4.1957940000e+05
4.4609550000e+05,1.7124960000e+15,3.4122778709e-01,1.2153240000e+36,4.1849380000e+05
4.4709550000e+05,1.7112730000e+15,3.4338554141e-01,1.2124200000e+36,4.1741220000e+05
4.4809550000e+05,1.7100470000e+15,3.4555139266e-01,1.2095150000e+36,4.1633430000e+05
4.4909550000e+05,1.7088190000e+15,3.4772539112e-01,1.2066100000e+36,4.1526040000e+05
4.5009550000e+05,1.7075890000e+15,3.4990753680e-01,1.2037040000e+36,4.1419020000e+05
4.5109550000e+05,1.7063570000e+15,3.5209782969e-01,1.2007970000e+36,4.1312380000e+05
4.5209550000e+05,1.7051220000e+15,3.5429626979e-01,1.1978910000e+36,4.1206120000e+05
4.5309550000e+05,1.7038850000e+15,3.5650285711e-01,1.1949830000e+36,4.1100230000e+05
4.5409550000e+05,1.7026450000e+15,3.5871754134e-01,1.1920760000e+36,4.0994700000e+05
4.5509540000e+05,1.7014040000e+15,3.6094042309e-01,1.1891680000e+36,4.0889550000e+05
4.5609540000e+05,1.7001600000e+15,3.6317145204e-01,1.1862590000e+36,4.0784760000e+05
4.5709540000e+05,1.6989140000e+15,3.6541067851e-01,1.1833510000e+36,4.0680330000e+05
4.5809540000e+05,1.6976650000e+15,3.6765805218e-01,1.1804420000e+36,4.0576260000e+05
4.5909540000e+05,1.6964140000e+15,3.6991357307e-01,1.1775320000e+36,4.0472540000e+05
4.6009540000e+05,1.6951610000e+15,3.7217729147e-01,1.1746230000e+36,4.0369170000e+05
4.6109540000e+05,1.6939060000e+15,3.7444920737e-01,1.1717130000e+36,4.0266160000e+05
4.6209540000e+05,1.6926480000e+15,3.7672927048e-01,1.1688030000e+36,4.0163490000e+05
4.6309540000e+05,1.6913880000e+15,3.7901758139e-01,1.1658930000e+36,4.0061170000e+05
4.6409540000e+05,1.6901260000e+15,3.8131403951e-01,1.1629820000e+36,3.9959190000e+05
4.6509530000e+05,1.6888620000e+15,3.8361869514e-01,1.1600720000e+36,3.9857560000e+05
4.6609530000e+05,1.6875950000e+15,3.8593154827e-01,1.1571610000e+36,3.9756250000e+05
4.6709530000e+05,1.6863260000e+15,3.8825259891e-01,1.1542510000e+36,3.9655280000e+05
4.6809530000e+05,1.6850550000e+15,3.9058184706e-01,1.1513400000e+36,3.9554650000e+05
4.6909530000e+05,1.6837810000e+15,3.9291929270e-01,1.1484290000e+36,3.9454340000e+05
4.7009530000e+05,1.6825050000e+15,3.9526498615e-01,1.1455190000e+36,3.9354360000e+05
4.7109530000e+05,1.6812270000e+15,3.9761887710e-01,1.1426080000e+36,3.9254710000e+05
4.7209530000e+05,1.6799470000e+15,3.9998096555e-01,1.1396970000e+36,3.9155380000e+05
4.7309530000e+05,1.6786640000e+15,4.0235130181e-01,1.1367860000e+36,3.9056360000e+05
4.7409530000e+05,1.6773790000e+15,4.0472983556e-01,1.1338760000e+36,3.8957670000e+05
4.7509520000e+05,1.6760920000e+15,4.0711661712e-01,1.1309650000e+36,3.8859290000e+05
4.7609520000e+05,1.6748030000e+15,4.0951164647e-01,1.1280550000e+36,3.8761220000e+05
4.7709520000e+05,1.6735110000e+15,4.1191487332e-01,1.1251450000e+36,3.8663460000e+05
4.7809520000e+05,1.6722170000e+15,4.1432629768e-01,1.1222350000e+36,3.8566010000e+05
4.7909520000e+05,1.6709210000e+15,4.1674602013e-01,1.1193250000e+36,3.8468870000e+05
4.8009520000e+05,1.6696220000e+15,4.1917394008e-01,1.1164160000e+36,3.8372020000e+05
4.8109520000e+05,1.6683220000e+15,4.2161010783e-01,1.1135060000e+36,3.8275480000e+05
4.8209520000e+05,1.6670190000e+15,4.2405452338e-01,1.1105970000e+36,3.8179240000e+05
4.8309520000e+05,1.6657130000e+15,4.2650718672e-01,1.1076890000e+36,3.8083300000e+05
4.8409520000e+05,1.6644060000e+15,4.2896804757e-01,1.1047800000e+36,3.7987650000e+05
4.8509510000e+05,1.6630960000e+15,4.3143720650e-01,1.1018720000e+36,3.7892290000e+05
4.8609510000e+05,1.6617840000e+15,4.3391461324e-01,1.0989640000e+36,3.7797220000e+05
4.8709510000e+05,1.6604700000e+15,4.3640021747e-01,1.0960570000e+36,3.7702440000e+05
4.8809510000e+05,1.6591530000e+15,4.3889411980e-01,1.0931500000e+36,3.7607940000e+05
4.8909510000e+05,1.6578340000e+15,4.4139626992e-01,1.0902440000e+36,3.7513730000e+05
4.9009510000e+05,1.6565130000e+15,4.4390666784e-01,1.0873380000e+36,3.7419800000e+05
4.9109510000e+05,1.6551900000e+15,4.4642531355e-01,1.0844320000e+36,3.7326150000e+05
4.9209510000e+05,1.6538640000e+15,4.4895220707e-01,1.0815270000e+36,3.7232770000e+05
4.9309510000e+05,1.6525360000e+15,4.5148734837e-01,1.0786230000e+36,3.7139680000e+05
4.9409510000e+05,1.6512060000e+15,4.5403078777e-01,1.0757190000e+36,3.7046850000e+05
4.9509500000e+05,1.6498740000e+15,4.5658247496e-01,1.0728160000e+36,3.6954300000e+05
4.9609500000e+05,1.6485390000e+15,4.5914240995e-01,1.0699130000e+36,3.6862010000e+05
4.9709500000e+05,1.6472020000e+15,4.6171059273e-01,1.0670110000e+36,3.6769990000e+05
4.9809500000e+05,1.6458630000e+15,4.6428702332e-01,1.0641090000e+36,3.6678240000e+05
4.9909500000e+05,1.6445220000e+15,4.6687175199e-01,1.0612080000e+36,3.6586750000e+05
5.0009500000e+05,1.6431780000e+15,4.6946472845e-01,1.0583080000e+36,3.6495520000e+05
5.0109500000e+05,1.6418320000e+15,4.7206595272e-01,1.0554090000e+36,3.6404550000e+05
5.0209500000e+05,1.6404840000e+15,4.7467542477e-01,1.0525100000e+36,3.6313840000e+05
5.0309500000e+05,1.6391340000e+15,4.7729319492e-01,1.0496120000e+36,3.6223380000e+05
5.0409500000e+05,1.6377810000e+15,4.7991921287e-01,1.0467150000e+36,3.6133180000e+05
5.0509490000e+05,1.6364260000e+15,4.8255347861e-01,1.0438190000e+36,3.6043220000e+05
5.0609490000e+05,1.6350690000e+15,4.8519604243e-01,1.0409230000e+36,3.5953520000e+05
5.0709490000e+05,1.6337090000e+15,4.8784685406e-01,1.0380280000e+36,3.5864070000e+05
5.0809490000e+05,1.6323480000e+15,4.9050591348e-01,1.0351340000e+36,3.5774860000e+05
5.0909490000e+05,1.6309840000e+15,4.9317322070e-01,1.0322410000e+36,3.5685900000e+05
5.1009490000e+05,1.6296170000e+15,4.9584877571e-01,1.0293490000e+36,3.5597180000e+05
5.1109490000e+05,1.6282490000e+15,4.9853262881e-01,1.0264580000e+36,3.5508700000e+05
5.1209490000e+05,1.6268780000e+15,5.0122472971e-01,1.0235680000e+36,3.5420460000e+05
5.1309490000e+05,1.6255050000e+15,5.0392527957e-01,1.0206790000e+36,3.5332450000e+05
5.1409490000e+05,1.6241300000e+15,5.0663347373e-01,1.0177900000e+36,3.5244680000e+05
5.1509480000e+05,1.6227520000e+15,5.0935072035e-01,1.0149030000e+36,3.5157150000e+05
5.1609480000e+05,1.6213730000e+15,5.1207551069e-01,1.0120170000e+36,3.5069850000e+05
5.1709480000e+05,1.6199910000e+15,5.1480885057e-01,1.0091320000e+36,3.4982780000e+05
5.1809480000e+05,1.6186060000e+15,5.1755074000e-01,1.0062480000e+36,3.4895930000e+05
5.1909480000e+05,1.6172200000e+15,5.2030067606e-01,1.0033650000e+36,3.4809320000e+05
5.2009480000e+05,1.6158310000e+15,5.2305865874e-01,1.0004830000e+36,3.4722920000e+05
5.2109480000e+05,1.6144400000e+15,5.2582519098e-01,9.9760210000e+35,3.4636760000e+05
5.2209480000e+05,1.6130470000e+15,5.2859976984e-01,9.9472250000e+35,3.4550810000e+05
5.2309480000e+05,1.6116510000e+15,5.3138239534e-01,9.9184410000e+35,3.4465090000e+05
5.2409480000e+05,1.6102530000e+15,5.3417357038e-01,9.8896690000e+35,3.4379580000e+05
5.2509470000e+05,1.6088530000e+15,5.3697279205e-01,9.8609090000e+35,3.4294290000e+05
5.2609470000e+05,1.6074510000e+15,5.3978056326e-01,9.8321620000e+35,3.4209220000e+05
5.2709470000e+05,1.6060460000e+15,5.4259638111e-01,9.8034270000e+35,3.4124360000e+05
5.2809470000e+05,1.6046390000e+15,5.4542024559e-01,9.7747060000e+35,3.4039710000e+05
5.2909470000e+05,1.6032300000e+15,5.4825265961e-01,9.7459970000e+35,3.3955270000e+05
5.3009470000e+05,1.6018190000e+15,5.5109312026e-01,9.7173010000e+35,3.3871040000e+05
5.3109470000e+05,1.6004050000e+15,5.5394162754e-01,9.6886190000e+35,3.3787030000e+05
5.3209470000e+05,1.5989890000e+15,5.5679868437e-01,9.6599510000e+35,3.3703210000e+05
5.3309470000e+05,1.5975710000e+15,5.5966378783e-01,9.6312960000e+35,3.3619600000e+05
5.3409470000e+05,1.5961510000e+15,5.6253693792e-01,9.6026560000e+35,3.3536200000e+05
5.3509460000e+05,1.5947280000e+15,5.6541863756e-01,9.5740300000e+35,3.3452990000e+05
5.3609460000e+05,1.5933030000e+15,5.6830838383e-01,9.5454180000e+35,3.3369990000e+05
5.3709460000e+05,1.5918760000e+15,5.7120617672e-01,9.5168210000e+35,3.3287190000e+05
5.3809460000e+05,1.5904460000e+15,5.7411251917e-01,9.4882380000e+35,3.3204580000e+05
5.3909460000e+05,1.5890140000e+15,5.7702690824e-01,9.4596710000e+35,3.3122170000e+05
5.4009460000e+05,1.5875800000e+15,5.7994934394e-01,9.4311190000e+35,3.3039950000e+05
5.4109460000e+05,1.5861440000e+15,5.8288032919e-01,9.4025830000e+35,3.2957930000e+05
5.4209460000e+05,1.5847060000e+15,5.8581936107e-01,9.3740620000e+35,3.2876090000e+05
5.4309460000e+05,1.5832650000e+15,5.8876643958e-01,9.3455570000e+35,3.2794450000e+05
5.4409460000e+05,1.5818220000e+15,5.9172156472e-01,9.3170670000e+35,3.2713000000e+05
5.4509450000e+05,1.5803760000e+15,5.9468523941e-01,9.2885950000e+35,3.2631730000e+05
5.4609450000e+05,1.5789280000e+15,5.9765696073e-01,9.2601380000e+35,3.2550650000e+05
5.4709450000e+05,1.5774780000e+15,6.0063672867e-01,9.2316990000e+35,3.2469760000e+05
5.4809450000e+05,1.5760260000e+15,6.0362454325e-01,9.2032760000e+35,3.2389050000e+05
5.4909450000e+05,1.5745720000e+15,6.0662090738e-01,9.1748700000e+35,3.2308520000e+05
5.5009450000e+05,1.5731150000e+15,6.0962531813e-01,9.1464810000e+35,3.2228170000e+05
5.5109450000e+05,1.5716560000e+15,6.1263777552e-01,9.1181090000e+35,3.2148000000e+05
5.5209450000e+05,1.5701950000e+15,6.1565827953e-01,9.0897560000e+35,3.2068010000e+05
5.5309450000e+05,1.5687310000e+15,6.1868683018e-01,9.0614200000e+35,3.1988190000e+05
5.5409450000e+05,1.5672650000e+15,6.2172393037e-01,9.0331010000e+35,3.1908550000e+05
5.5509440000e+05,1.5657970000e+15,6.2476907719e-01,9.0048020000e+35,3.1829090000e+05
5.5609440000e+05,1.5643260000e+15,6.2782227065e-01,8.9765200000e+35,3.1749790000e+05
5.5709440000e+05,1.5628540000e+15,6.3088351073e-01,8.9482570000e+35,3.1670670000e+05
5.5809440000e+05,1.5613790000e+15,6.3395279745e-01,8.9200120000e+35,3.1591720000e+05
5.5909440000e+05,1.5599010000e+15,6.3703013079e-01,8.8917870000e+35,3.1512940000e+05
5.6009440000e+05,1.5584220000e+15,6.4011601368e-01,8.8635800000e+35,3.1434330000e+05
5.6109440000e+05,1.5569400000e+15,6.4320944029e-01,8.8353930000e+35,3.1355880000e+05
5.6209440000e+05,1.5554550000e+15,6.4631141644e-01,8.8072250000e+35,3.1277600000e+05
5.6309440000e+05,1.5539690000e+15,6.4942093631e-01,8.7790770000e+35,3.1199480000e+05
5.6409440000e+05,1.5524800000e+15,6.5253900573e-01,8.7509490000e+35,3.1121530000e+05
5.6509430000e+05,1.5509890000e+15,6.5566512177e-01,8.7228410000e+35,3.1043730000e+05
5.6609430000e+05,1.5494960000e+15,6.5879928445e-01,8.6947520000e+35,3.0966100000e+05
5.6709430000e+05,1.5480000000e+15,6.6194149375e-01,8.6666850000e+35,3.0888630000e+05
5.6809430000e+05,1.5465020000e+15,6.6509124677e-01,8.6386370000e+35,3.0811310000e+05
5.6909430000e+05,1.5450010000e+15,6.6824954934e-01,8.6106110000e+35,3.0734160000e+05
5.7009430000e+05,1.5434990000e+15,6.7141589854e-01,8.5826050000e+35,3.0657150000e+05
5.7109430000e+05,1.5419940000e+15,6.7459029437e-01,8.5546210000e+35,3.0580310000e+05
5.7209430000e+05,1.5404870000e+15,6.7777273683e-01,8.5266570000e+35,3.0503610000e+05
5.7309430000e+05,1.5389770000e+15,6.8096272300e-01,8.4987150000e+35,3.0427070000e+05
5.7409430000e+05,1.5374650000e+15,6.8416125873e-01,8.4707950000e+35,3.0350680000e+05
5.7509420000e+05,1.5359510000e+15,6.8736784108e-01,8.4428960000e+35,3.0274440000e+05
5.7609420000e+05,1.5344350000e+15,6.9058196715e-01,8.4150200000e+35,3.0198350000e+05
5.7709420000e+05,1.5329160000e+15,6.9380464276e-01,8.3871650000e+35,3.0122410000e+05
5.7809420000e+05,1.5313950000e+15,6.9703486209e-01,8.3593330000e+35,3.0046620000e+05
5.7909420000e+05,1.5298710000e+15,7.0027312805e-01,8.3315240000e+35,2.9970970000e+05
5.8009420000e+05,1.5283450000e+15,7.0351944064e-01,8.3037370000e+35,2.9895460000e+05
5.8109420000e+05,1.5268170000e+15,7.0677379986e-01,8.2759720000e+35,2.9820100000e+05
5.8209420000e+05,1.5252870000e+15,7.1003570280e-01,8.2482310000e+35,2.9744890000e+05
5.8309420000e+05,1.5237540000e+15,7.1330565237e-01,8.2205130000e+35,2.9669810000e+05
