r,rho,m,P,H
1.1109890000e+05,1.9810760000e+15,5.7446807966e-03,1.9793600000e+36,1.7450980000e+06
1.1209890000e+05,1.9807350000e+15,5.9005943256e-03,1.9782210000e+36,1.7295250000e+06
1.1309890000e+05,1.9803920000e+15,6.0592889713e-03,1.9770720000e+36,1.7142260000e+06
1.1409890000e+05,1.9800450000e+15,6.2207848504e-03,1.9759140000e+36,1.6991950000e+06
1.1509890000e+05,1.9796950000e+15,6.3851071085e-03,1.9747470000e+36,1.6844250000e+06
1.1609880000e+05,1.9793430000e+15,6.5522808914e-03,1.9735700000e+36,1.6699100000e+06
1.1709880000e+05,1.9789870000e+15,6.7223313447e-03,1.9723830000e+36,1.6556420000e+06
1.1809880000e+05,1.9786290000e+15,6.8952735560e-03,1.9711870000e+36,1.6416150000e+06
1.1909880000e+05,1.9782670000e+15,7.0711427293e-03,1.9699820000e+36,1.6278240000e+06
1.2009880000e+05,1.9779030000e+15,7.2499589810e-03,1.9687670000e+36,1.6142620000e+06
1.2109880000e+05,1.9775350000e+15,7.4317424278e-03,1.9675420000e+36,1.6009240000e+06
1.2209880000e+05,1.9771650000e+15,7.6165131863e-03,1.9663090000e+36,1.5878040000e+06
1.2309880000e+05,1.9767920000e+15,7.8043064605e-03,1.9650660000e+36,1.5748970000e+06
1.2409880000e+05,1.9764150000e+15,7.9951373378e-03,1.9638130000e+36,1.5621980000e+06
1.2509880000e+05,1.9760360000e+15,8.1890309639e-03,1.9625510000e+36,1.5497010000e+06
1.2609870000e+05,1.9756540000e+15,8.3860124845e-03,1.9612800000e+36,1.5374030000e+06
1.2709870000e+05,1.9752680000e+15,8.5861070454e-03,1.9600000000e+36,1.5252980000e+06
1.2809870000e+05,1.9748800000e+15,8.7893297340e-03,1.9587100000e+36,1.5133810000e+06
1.2909870000e+05,1.9744890000e+15,8.9957157544e-03,1.9574120000e+36,1.5016490000e+06
1.3009870000e+05,1.9740940000e+15,9.2052751647e-03,1.9561030000e+36,1.4900970000e+06
1.3109870000e+05,1.9736970000e+15,9.4180431691e-03,1.9547860000e+36,1.4787210000e+06
1.3209870000e+05,1.9732970000e+15,9.6340348548e-03,1.9534600000e+36,1.4675160000e+06
1.3309870000e+05,1.9728940000e+15,9.8532803969e-03,1.9521240000e+36,1.4564800000e+06
1.3409870000e+05,1.9724880000e+15,1.0075799912e-02,1.9507790000e+36,1.4456080000e+06
1.3509870000e+05,1.9720790000e+15,1.0301613516e-02,1.9494250000e+36,1.4348970000e+06
1.3609860000e+05,1.9716670000e+15,1.0530746356e-02,1.9480620000e+36,1.4243430000e+06
1.3709860000e+05,1.9712520000e+15,1.0763228606e-02,1.9466900000e+36,1.4139430000e+06
1.3809860000e+05,1.9708340000e+15,1.0999070324e-02,1.9453080000e+36,1.4036930000e+06
1.3909860000e+05,1.9704130000e+15,1.1238306714e-02,1.9439180000e+36,1.3935900000e+06
1.4009860000e+05,1.9699900000e+15,1.1480952864e-02,1.9425190000e+36,1.3836310000e+06
1.4109860000e+05,1.9695630000e+15,1.1727033920e-02,1.9411100000e+36,1.3738120000e+06
1.4209860000e+05,1.9691330000e+15,1.1976575027e-02,1.9396930000e+36,1.3641320000e+06
1.4309860000e+05,1.9687000000e+15,1.2229596301e-02,1.9382660000e+36,1.3545870000e+06
1.4409860000e+05,1.9682650000e+15,1.2486122889e-02,1.9368310000e+36,1.3451740000e+06
1.4509860000e+05,1.9678260000e+15,1.2746179937e-02,1.9353870000e+36,1.3358900000e+06
1.4609850000e+05,1.9673850000e+15,1.3009782531e-02,1.9339340000e+36,1.3267330000e+06
1.4709850000e+05,1.9669410000e+15,1.3276960846e-02,1.9324710000e+36,1.3177000000e+06
1.4809850000e+05,1.9664930000e+15,1.3547735000e-02,1.9310010000e+36,1.3087890000e+06
1.4909850000e+05,1.9660430000e+15,1.3822130138e-02,1.9295210000e+36,1.2999970000e+06
1.5009850000e+05,1.9655900000e+15,1.4100161347e-02,1.9280320000e+36,1.2913220000e+06
1.5109850000e+05,1.9651340000e+15,1.4381858802e-02,1.9265350000e+36,1.2827620000e+06
1.5209850000e+05,1.9646750000e+15,1.4667247648e-02,1.9250280000e+36,1.2743130000e+06
1.5309850000e+05,1.9642130000e+15,1.4956342974e-02,1.9235130000e+36,1.2659750000e+06
1.5409850000e+05,1.9637480000e+15,1.5249169926e-02,1.9219900000e+36,1.2577450000e+06
1.5509850000e+05,1.9632800000e+15,1.5545753647e-02,1.9204570000e+36,1.2496200000e+06
1.5609840000e+05,1.9628090000e+15,1.5846109227e-02,1.9189160000e+36,1.2415990000e+06
1.5709840000e+05,1.9623360000e+15,1.6150271870e-02,1.9173660000e+36,1.2336800000e+06
1.5809840000e+05,1.9618590000e+15,1.6458251632e-02,1.9158080000e+36,1.2258610000e+06
1.5909840000e+05,1.9613800000e+15,1.6770078690e-02,1.9142410000e+36,1.2181390000e+06
1.6009840000e+05,1.9608970000e+15,1.7085773160e-02,1.9126650000e+36,1.2105140000e+06
1.6109840000e+05,1.9604120000e+15,1.7405355158e-02,1.9110800000e+36,1.2029830000e+06
1.6209840000e+05,1.9599240000e+15,1.7728854860e-02,1.9094880000e+36,1.1955450000e+06
1.6309840000e+05,1.9594330000e+15,1.8056282323e-02,1.9078860000e+36,1.1881980000e+06
1.6409840000e+05,1.9589390000e+15,1.8387667723e-02,1.9062760000e+36,1.1809390000e+06
1.6509830000e+05,1.9584420000e+15,1.8723031176e-02,1.9046580000e+36,1.1737690000e+06
1.6609830000e+05,1.9579420000e+15,1.9062397828e-02,1.9030310000e+36,1.1666840000e+06
1.6709830000e+05,1.9574390000e+15,1.9405787795e-02,1.9013960000e+36,1.1596840000e+06
1.6809830000e+05,1.9569340000e+15,1.9753221194e-02,1.8997520000e+36,1.1527660000e+06
1.6909830000e+05,1.9564250000e+15,2.0104723171e-02,1.8981000000e+36,1.1459300000e+06
1.7009830000e+05,1.9559140000e+15,2.0460313841e-02,1.8964390000e+36,1.1391740000e+06
1.7109830000e+05,1.9554000000e+15,2.0820013323e-02,1.8947700000e+36,1.1324970000e+06
1.7209830000e+05,1.9548820000e+15,2.1183851791e-02,1.8930930000e+36,1.1258970000e+06
1.7309830000e+05,1.9543620000e+15,2.1551839302e-02,1.8914070000e+36,1.1193730000e+06
1.7409830000e+05,1.9538390000e+15,2.1924011062e-02,1.8897140000e+36,1.1129230000e+06
1.7509820000e+05,1.9533140000e+15,2.2300377127e-02,1.8880110000e+36,1.1065470000e+06
1.7609820000e+05,1.9527850000e+15,2.2680962645e-02,1.8863010000e+36,1.1002420000e+06
1.7709820000e+05,1.9522530000e+15,2.3065792760e-02,1.8845830000e+36,1.0940090000e+06
1.7809820000e+05,1.9517190000e+15,2.3454887590e-02,1.8828560000e+36,1.0878450000e+06
1.7909820000e+05,1.9511820000e+15,2.3848267251e-02,1.8811210000e+36,1.0817490000e+06
1.8009820000e+05,1.9506420000e+15,2.4245951859e-02,1.8793780000e+36,1.0757210000e+06
1.8109820000e+05,1.9500980000e+15,2.4647971589e-02,1.8776270000e+36,1.0697590000e+06
1.8209820000e+05,1.9495530000e+15,2.5054336500e-02,1.8758680000e+36,1.0638620000e+06
1.8309820000e+05,1.9490040000e+15,2.5465076766e-02,1.8741000000e+36,1.0580290000e+06
1.8409820000e+05,1.9484520000e+15,2.5880212505e-02,1.8723250000e+36,1.0522590000e+06
1.8509810000e+05,1.9478980000e+15,2.6299763832e-02,1.8705420000e+36,1.0465510000e+06
1.8609810000e+05,1.9473400000e+15,2.6723750864e-02,1.8687500000e+36,1.0409040000e+06
1.8709810000e+05,1.9467800000e+15,2.7152193718e-02,1.8669510000e+36,1.0353170000e+06
1.8809810000e+05,1.9462170000e+15,2.7585117540e-02,1.8651440000e+36,1.0297890000e+06
1.8909810000e+05,1.9456510000e+15,2.8022542445e-02,1.8633290000e+36,1.0243190000e+06
1.9009810000e+05,1.9450820000e+15,2.8464488551e-02,1.8615060000e+36,1.0189060000e+06
1.9109810000e+05,1.9445110000e+15,2.8910981004e-02,1.8596750000e+36,1.0135490000e+06
1.9209810000e+05,1.9439360000e+15,2.9362034890e-02,1.8578360000e+36,1.0082480000e+06
1.9309810000e+05,1.9433590000e+15,2.9817675356e-02,1.8559900000e+36,1.0030010000e+06
1.9409810000e+05,1.9427790000e+15,3.0277917489e-02,1.8541350000e+36,9.9780750000e+05
1.9509800000e+05,1.9421960000e+15,3.0742796493e-02,1.8522730000e+36,9.9266700000e+05
1.9609800000e+05,1.9416100000e+15,3.1212317397e-02,1.8504040000e+36,9.8757850000e+05
1.9709800000e+05,1.9410210000e+15,3.1686510376e-02,1.8485260000e+36,9.8254120000e+05
1.9809800000e+05,1.9404300000e+15,3.2165395547e-02,1.8466410000e+36,9.7755440000e+05
1.9909800000e+05,1.9398360000e+15,3.2648987996e-02,1.8447480000e+36,9.7261720000e+05
2.0009800000e+05,1.9392390000e+15,3.3137312870e-02,1.8428480000e+36,9.6772890000e+05
2.0109800000e+05,1.9386390000e+15,3.3630395315e-02,1.8409390000e+36,9.6288880000e+05
2.0209800000e+05,1.9380360000e+15,3.4128250418e-02,1.8390240000e+36,9.5809610000e+05
2.0309800000e+05,1.9374300000e+15,3.4630898295e-02,1.8371010000e+36,9.5335010000e+05
2.0409800000e+05,1.9368220000e+15,3.5138364092e-02,1.8351700000e+36,9.4865030000e+05
2.0509790000e+05,1.9362110000e+15,3.5650662896e-02,1.8332320000e+36,9.4399580000e+05
2.0609790000e+05,1.9355970000e+15,3.6167819854e-02,1.8312860000e+36,9.3938600000e+05
2.0709790000e+05,1.9349800000e+15,3.6689850053e-02,1.8293330000e+36,9.3482020000e+05
2.0809790000e+05,1.9343600000e+15,3.7216778638e-02,1.8273720000e+36,9.3029790000e+05
2.0909790000e+05,1.9337380000e+15,3.7748630756e-02,1.8254040000e+36,9.2581840000e+05
2.1009790000e+05,1.9331120000e+15,3.8285416464e-02,1.8234290000e+36,9.2138110000e+05
2.1109790000e+05,1.9324840000e+15,3.8827160908e-02,1.8214460000e+36,9.1698530000e+05
2.1209790000e+05,1.9318540000e+15,3.9373884205e-02,1.8194560000e+36,9.1263050000e+05
2.1309790000e+05,1.9312200000e+15,3.9925606471e-02,1.8174590000e+36,9.0831610000e+05
2.1409790000e+05,1.9305830000e+15,4.0482347823e-02,1.8154550000e+36,9.0404150000e+05
2.1509780000e+05,1.9299440000e+15,4.1044133407e-02,1.8134430000e+36,8.9980620000e+05
2.1609780000e+05,1.9293020000e+15,4.1610973280e-02,1.8114240000e+36,8.9560970000e+05
2.1709780000e+05,1.9286570000e+15,4.2182892590e-02,1.8093980000e+36,8.9145130000e+05
2.1809780000e+05,1.9280100000e+15,4.2759916480e-02,1.8073640000e+36,8.8733050000e+05
2.1909780000e+05,1.9273590000e+15,4.3342055011e-02,1.8053240000e+36,8.8324690000e+05
2.2009780000e+05,1.9267060000e+15,4.3929333327e-02,1.8032770000e+36,8.7919990000e+05
2.2109780000e+05,1.9260500000e+15,4.4521776574e-02,1.8012220000e+36,8.7518900000e+05
2.2209780000e+05,1.9253920000e+15,4.5119394810e-02,1.7991600000e+36,8.7121370000e+05
2.2309780000e+05,1.9247300000e+15,4.5722213181e-02,1.7970920000e+36,8.6727360000e+05
2.2409780000e+05,1.9240660000e+15,4.6330251805e-02,1.7950160000e+36,8.6336820000e+05
2.2509770000e+05,1.9233990000e+15,4.6943525767e-02,1.7929340000e+36,8.5949690000e+05
2.2609770000e+05,1.9227290000e+15,4.7562060214e-02,1.7908440000e+36,8.5565940000e+05
2.2709770000e+05,1.9220570000e+15,4.8185870233e-02,1.7887480000e+36,8.5185520000e+05
2.2809770000e+05,1.9213810000e+15,4.8814980971e-02,1.7866450000e+36,8.4808380000e+05
2.2909770000e+05,1.9207030000e+15,4.9449407513e-02,1.7845350000e+36,8.4434480000e+05
2.3009770000e+05,1.9200220000e+15,5.0089164949e-02,1.7824180000e+36,8.4063790000e+05
2.3109770000e+05,1.9193390000e+15,5.0734308598e-02,1.7802940000e+36,8.3696250000e+05
2.3209770000e+05,1.9186530000e+15,5.1384778111e-02,1.7781640000e+36,8.3331820000e+05
2.3309770000e+05,1.9179630000e+15,5.2040679100e-02,1.7760260000e+36,8.2970470000e+05
2.3409770000e+05,1.9172720000e+15,5.2701961273e-02,1.7738830000e+36,8.2612160000e+05
2.3509760000e+05,1.9165770000e+15,5.3368674922e-02,1.7717320000e+36,8.2256840000e+05
2.3609760000e+05,1.9158800000e+15,5.4040870337e-02,1.7695750000e+36,8.1904480000e+05
2.3709760000e+05,1.9151800000e+15,5.4718547520e-02,1.7674110000e+36,8.1555030000e+05
2.3809760000e+05,1.9144770000e+15,5.5401706471e-02,1.7652410000e+36,8.1208470000e+05
2.3909760000e+05,1.9137710000e+15,5.6090347188e-02,1.7630640000e+36,8.0864760000e+05
2.4009760000e+05,1.9130630000e+15,5.6784519964e-02,1.7608800000e+36,8.0523860000e+05
2.4109760000e+05,1.9123520000e+15,5.7484275091e-02,1.7586900000e+36,8.0185730000e+05
2.4209760000e+05,1.9116390000e+15,5.8189562275e-02,1.7564940000e+36,7.9850340000e+05
2.4309760000e+05,1.9109220000e+15,5.8900431810e-02,1.7542910000e+36,7.9517650000e+05
2.4409760000e+05,1.9102030000e+15,5.9616933987e-02,1.7520810000e+36,7.9187640000e+05
2.4509750000e+05,1.9094810000e+15,6.0339018513e-02,1.7498660000e+36,7.8860260000e+05
2.4609750000e+05,1.9087570000e+15,6.1066785973e-02,1.7476430000e+36,7.8535490000e+05
2.4709750000e+05,1.9080290000e+15,6.1800186074e-02,1.7454150000e+36,7.8213300000e+05
2.4809750000e+05,1.9072990000e+15,6.2539269108e-02,1.7431800000e+36,7.7893640000e+05
2.4909750000e+05,1.9065670000e+15,6.3284035075e-02,1.7409390000e+36,7.7576500000e+05
2.5009750000e+05,1.9058310000e+15,6.4034534266e-02,1.7386920000e+36,7.7261840000e+05
2.5109750000e+05,1.9050930000e+15,6.4790766682e-02,1.7364390000e+36,7.6949620000e+05
2.5209750000e+05,1.9043520000e+15,6.5552782613e-02,1.7341790000e+36,7.6639830000e+05
2.5309750000e+05,1.9036090000e+15,6.6320531769e-02,1.7319130000e+36,7.6332430000e+05
2.5409750000e+05,1.9028630000e+15,6.7094064441e-02,1.7296410000e+36,7.6027400000e+05
2.5509740000e+05,1.9021140000e+15,6.7873380629e-02,1.7273630000e+36,7.5724700000e+05
2.5609740000e+05,1.9013620000e+15,6.8658580915e-02,1.7250790000e+36,7.5424300000e+05
2.5709740000e+05,1.9006080000e+15,6.9449564718e-02,1.7227890000e+36,7.5126190000e+05
2.5809740000e+05,1.8998510000e+15,7.0246432619e-02,1.7204930000e+36,7.4830320000e+05
2.5909740000e+05,1.8990910000e+15,7.1049184618e-02,1.7181900000e+36,7.4536690000e+05
2.6009740000e+05,1.8983290000e+15,7.1857871008e-02,1.7158820000e+36,7.4245250000e+05
2.6109740000e+05,1.8975640000e+15,7.2672391205e-02,1.7135680000e+36,7.3955990000e+05
2.6209740000e+05,1.8967960000e+15,7.3492896084e-02,1.7112480000e+36,7.3668870000e+05
2.6309740000e+05,1.8960260000e+15,7.4319335353e-02,1.7089230000e+36,7.3383890000e+05
2.6409740000e+05,1.8952530000e+15,7.5151759304e-02,1.7065910000e+36,7.3101000000e+05
2.6509730000e+05,1.8944770000e+15,7.5990167936e-02,1.7042540000e+36,7.2820180000e+05
2.6609730000e+05,1.8936980000e+15,7.6834561250e-02,1.7019100000e+36,7.2541420000e+05
2.6709730000e+05,1.8929170000e+15,7.7684989537e-02,1.6995610000e+36,7.2264680000e+05
2.6809730000e+05,1.8921340000e+15,7.8541452797e-02,1.6972070000e+36,7.1989950000e+05
2.6909730000e+05,1.8913470000e+15,7.9403951030e-02,1.6948460000e+36,7.1717200000e+05
2.7009730000e+05,1.8905580000e+15,8.0272534527e-02,1.6924800000e+36,7.1446420000e+05
