central_density,radius,mass
1.320000e+15,1.297557e+06,5.421416e+33
1.330000e+15,1.296338e+06,5.417725e+33
1.340000e+15,1.295170e+06,5.413732e+33
1.350000e+15,1.294054e+06,5.409437e+33
1.360000e+15,1.292856e+06,5.405636e+33
1.370000e+15,1.291704e+06,5.401569e+33
1.380000e+15,1.290598e+06,5.397230e+33
1.390000e+15,1.289395e+06,5.393502e+33
1.400000e+15,1.288233e+06,5.389546e+33
1.410000e+15,1.287111e+06,5.385358e+33
1.420000e+15,1.286029e+06,5.380938e+33
1.430000e+15,1.284911e+06,5.377413e+33
1.440000e+15,1.283831e+06,5.373045e+33
1.450000e+15,1.282708e+06,5.368989e+33
1.460000e+15,1.281620e+06,5.364741e+33
1.470000e+15,1.280566e+06,5.360298e+33
1.480000e+15,1.279393e+06,5.355494e+33
1.490000e+15,1.278405e+06,5.350669e+33
1.500000e+15,1.277283e+06,5.346820e+33
1.510000e+15,1.276226e+06,5.342892e+33
1.520000e+15,1.275161e+06,5.338745e+33
1.530000e+15,1.274298e+06,5.333190e+33
1.540000e+15,1.272976e+06,5.328543e+33
1.550000e+15,1.271995e+06,5.323939e+33
1.560000e+15,1.271115e+06,5.319312e+33
1.570000e+15,1.270006e+06,5.315761e+33
1.580000e+15,1.269105e+06,5.310716e+33
1.590000e+15,1.267974e+06,5.306212e+33
1.600000e+15,1.266973e+06,5.302388e+33
1.610000e+15,1.266146e+06,5.296924e+33
1.620000e+15,1.265061e+06,5.293532e+33
1.630000e+15,1.264044e+06,5.287130e+33
1.640000e+15,1.263094e+06,5.282790e+33
1.650000e+15,1.262145e+06,5.279248e+33
1.660000e+15,1.261335e+06,5.273915e+33
1.670000e+15,1.260180e+06,5.270170e+33
1.680000e+15,1.259349e+06,5.265495e+33
1.690000e+15,1.258231e+06,5.261614e+33
1.700000e+15,1.257332e+06,5.255972e+33
1.710000e+15,1.256597e+06,5.251053e+33
1.720000e+15,1.255602e+06,5.247661e+33
1.730000e+15,1.254759e+06,5.241723e+33
1.740000e+15,1.253834e+06,5.238258e+33
1.750000e+15,1.252818e+06,5.233969e+33
1.760000e+15,1.251890e+06,5.229748e+33
1.770000e+15,1.251085e+06,5.225083e+33
1.780000e+15,1.250220e+06,5.219673e+33
1.790000e+15,1.249374e+06,5.215895e+33
1.800000e+15,1.248506e+06,5.212000e+33
1.810000e+15,1.247510e+06,5.206653e+33
1.820000e+15,1.246745e+06,5.202772e+33
1.830000e+15,1.245849e+06,5.198013e+33
1.840000e+15,1.245075e+06,5.193955e+33
1.850000e+15,1.244207e+06,5.189086e+33
1.860000e+15,1.243426e+06,5.184284e+33
1.870000e+15,1.242547e+06,5.181046e+33
1.880000e+15,1.241755e+06,5.176084e+33
1.890000e+15,1.240896e+06,5.172824e+33
1.900000e+15,1.240022e+06,5.167017e+33
1.910000e+15,1.239376e+06,5.162658e+33
1.920000e+15,1.238598e+06,5.157429e+33
1.930000e+15,1.237940e+06,5.152892e+33
1.940000e+15,1.236885e+06,5.149201e+33
1.950000e+15,1.236287e+06,5.144643e+33
1.960000e+15,1.235324e+06,5.141621e+33
1.970000e+15,1.234713e+06,5.136925e+33
1.980000e+15,1.233771e+06,5.133302e+33
1.990000e+15,1.233145e+06,5.128459e+33
2.000000e+15,1.232457e+06,5.122877e+33
2.010000e+15,1.231654e+06,5.120497e+33
2.020000e+15,1.230915e+06,5.114157e+33
2.030000e+15,1.230131e+06,5.111486e+33
2.040000e+15,1.229319e+06,5.108736e+33
2.050000e+15,1.228610e+06,5.102301e+33
2.060000e+15,1.228127e+06,5.097281e+33
2.070000e+15,1.227272e+06,5.094077e+33
2.080000e+15,1.226532e+06,5.091626e+33
2.090000e+15,1.225816e+06,5.086484e+33
2.100000e+15,1.225102e+06,5.081930e+33
2.110000e+15,1.224390e+06,5.079427e+33
2.120000e+15,1.223744e+06,5.072743e+33
2.130000e+15,1.223083e+06,5.070298e+33
2.140000e+15,1.222321e+06,5.067105e+33
2.150000e+15,1.221774e+06,5.060995e+33
2.160000e+15,1.221065e+06,5.057833e+33
2.170000e+15,1.220326e+06,5.054633e+33
2.180000e+15,1.219486e+06,5.050690e+33
2.190000e+15,1.219116e+06,5.045251e+33
2.200000e+15,1.218401e+06,5.042010e+33
2.210000e+15,1.217582e+06,5.038067e+33
2.220000e+15,1.216989e+06,5.035558e+33
2.230000e+15,1.216503e+06,5.029216e+33
2.240000e+15,1.215890e+06,5.026627e+33
2.250000e+15,1.215172e+06,5.022786e+33
2.260000e+15,1.214497e+06,5.019538e+33
2.270000e+15,1.214113e+06,5.013750e+33
2.280000e+15,1.213415e+06,5.009873e+33
2.290000e+15,1.212640e+06,5.008190e+33
2.300000e+15,1.212001e+06,5.002650e+33
2.310000e+15,1.211470e+06,5.000107e+33
2.320000e+15,1.210834e+06,4.996873e+33
2.330000e+15,1.210166e+06,4.993023e+33
2.340000e+15,1.209827e+06,4.987067e+33
2.350000e+15,1.209210e+06,4.983795e+33
2.360000e+15,1.208439e+06,4.981596e+33
2.370000e+15,1.207917e+06,4.976644e+33
2.380000e+15,1.207317e+06,4.973387e+33
2.390000e+15,1.206757e+06,4.970218e+33
2.400000e+15,1.206167e+06,4.966979e+33
2.410000e+15,1.205546e+06,4.963138e+33
2.420000e+15,1.204930e+06,4.959867e+33
2.430000e+15,1.204430e+06,4.957302e+33
2.440000e+15,1.204073e+06,4.949945e+33
2.450000e+15,1.203473e+06,4.946639e+33
2.460000e+15,1.202718e+06,4.944532e+33
2.470000e+15,1.202398e+06,4.940274e+33
2.480000e+15,1.201850e+06,4.937046e+33
2.490000e+15,1.201147e+06,4.935045e+33
2.500000e+15,1.200693e+06,4.930006e+33
2.510000e+15,1.200085e+06,4.926147e+33
2.520000e+15,1.199667e+06,4.923688e+33
2.530000e+15,1.199143e+06,4.920515e+33
2.540000e+15,1.198585e+06,4.916732e+33
2.550000e+15,1.198069e+06,4.913587e+33
2.560000e+15,1.197446e+06,4.909727e+33
2.570000e+15,1.196977e+06,4.906620e+33
2.580000e+15,1.196549e+06,4.904152e+33
2.590000e+15,1.196013e+06,4.900431e+33
2.600000e+15,1.195519e+06,4.897288e+33
2.610000e+15,1.194991e+06,4.893606e+33
2.620000e+15,1.194506e+06,4.890502e+33
2.630000e+15,1.193912e+06,4.886679e+33
2.640000e+15,1.193509e+06,4.883996e+33
2.650000e+15,1.193074e+06,4.881246e+33
2.660000e+15,1.192566e+06,4.877566e+33
2.670000e+15,1.192101e+06,4.874531e+33
2.680000e+15,1.191600e+06,4.870891e+33
2.690000e+15,1.191143e+06,4.867833e+33
2.700000e+15,1.190576e+06,4.864122e+33
2.710000e+15,1.190162e+06,4.861159e+33
2.720000e+15,1.189716e+06,4.858134e+33
2.730000e+15,1.189309e+06,4.855212e+33
2.740000e+15,1.188870e+06,4.852226e+33
2.750000e+15,1.188395e+06,4.848639e+33
2.760000e+15,1.187963e+06,4.845694e+33
2.770000e+15,1.187494e+06,4.842154e+33
2.780000e+15,1.187069e+06,4.839185e+33
2.790000e+15,1.186607e+06,4.835691e+33
2.800000e+15,1.186151e+06,4.832710e+33
2.810000e+15,1.185660e+06,4.829133e+33
2.820000e+15,1.185284e+06,4.826316e+33
2.830000e+15,1.184875e+06,4.823428e+33
