,0,1,2,3
kappa,3.5938855153e+13,2.9187708482e-13,1.8745628243e-10,7.8144784885e+15
gamma,1.3569239500e+00,3.2240000000e+00,3.0330000000e+00,1.3250000000e+00
density_at_boundary,5.0000000000e+13,9.4170784307e+13,5.0118723363e+14,
a_parameter,0.0000000000e+00,8.2588590182e-03,7.3755136030e-03,-1.5166646741e+00
